run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
0,"([0, 2, 11, 18, 20], 0.883177570093458)","([0, 9, 18, 20], 0.8084112149532711)",0.7149532710280374
1,"([0, 11, 18, 20], 0.8738317757009346)","([0, 9, 11, 18, 20], 0.8200934579439252)",0.7453271028037384
2,"([0, 15, 18, 20], 0.8899297423887588)","([0, 9, 15, 18, 20], 0.8243559718969555)",0.7939110070257611
3,"([0, 11, 18, 20], 0.8855140186915887)","([0, 9, 15, 20], 0.8177570093457944)",0.7406542056074766
4,"([0, 15, 18, 20], 0.8665105386416861)","([0, 9, 20], 0.8079625292740047)",0.7822014051522248
5,"([0, 15, 18, 20], 0.892271662763466)","([0, 9, 15, 20], 0.8056206088992974)",0.7564402810304449
6,"([0, 15, 18, 20], 0.883177570093458)","([0, 9, 15, 20], 0.8130841121495327)",0.7616822429906542
7,"([0, 9, 18, 20], 0.8594847775175644)","([0, 9, 20], 0.7892271662763466)",0.7423887587822015
8,"([0, 11, 18, 20], 0.9042056074766355)","([0, 9, 15, 20], 0.8411214953271028)",0.7616822429906542
9,"([0, 11, 18, 20], 0.9112149532710281)","([0, 9, 15, 20], 0.852803738317757)",0.780373831775701
10,"([0, 11, 18, 20], 0.9158878504672897)","([0, 9, 15, 20], 0.8271028037383178)",0.7570093457943925
11,"([0, 18, 20], 0.8714953271028038)","([0, 15, 20], 0.7967289719626168)",0.764018691588785
12,"([0, 18, 20], 0.8387850467289719)","([0, 9, 20], 0.7967289719626168)",0.7850467289719626
13,"([0, 11, 18, 20], 0.8738317757009346)","([0, 9, 15, 20], 0.8014018691588785)",0.7546728971962616
14,"([0, 15, 18, 20], 0.9065420560747663)","([0, 9, 15, 18, 20], 0.8271028037383178)",0.7757009345794392
15,"([0, 18, 20], 0.8855140186915887)","([0, 9, 15, 18, 20], 0.8177570093457944)",0.7172897196261683
16,"([0, 11, 18, 20], 0.8878504672897196)","([0, 9, 15, 20], 0.8200934579439252)",0.7593457943925234
17,"([0, 18, 20], 0.8644859813084113)","([0, 9, 15, 20], 0.822429906542056)",0.764018691588785
18,"([0, 11, 18, 20], 0.9018691588785047)","([0, 9, 11, 15, 18, 20], 0.8341121495327103)",0.7663551401869159
19,"([0, 11, 18, 20], 0.8948598130841121)","([0, 9, 15, 20], 0.8364485981308412)",0.7593457943925234
20,"([0, 11, 18, 20], 0.883177570093458)","([0, 9, 20], 0.8294392523364486)",0.7570093457943925
21,"([0, 18, 20], 0.8691588785046729)","([0, 9, 18, 20], 0.8130841121495327)",0.7663551401869159
22,"([0, 11, 18, 20], 0.8481308411214953)","([0, 9, 15, 18, 20], 0.8014018691588785)",0.7897196261682243
23,"([0, 11, 18, 20], 0.8785046728971962)","([0, 9, 15, 20], 0.8200934579439252)",0.7686915887850467
24,"([0, 18, 20], 0.8621495327102804)","([0, 15, 20], 0.822429906542056)",0.75
25,"([0, 15, 18, 20], 0.8808411214953271)","([0, 9, 20], 0.8364485981308412)",0.7686915887850467
26,"([0, 11, 18, 20], 0.8738317757009346)","([0, 15, 18, 20], 0.822429906542056)",0.7757009345794392
27,"([0, 15, 18, 20], 0.8598130841121495)","([0, 9, 15, 20], 0.7967289719626168)",0.7336448598130841
28,"([0, 18, 20], 0.883177570093458)","([0, 15, 18, 20], 0.822429906542056)",0.7289719626168224
29,"([0, 11, 18, 20], 0.8878504672897196)","([0, 9, 15, 20], 0.7990654205607477)",0.7476635514018691
30,"([0, 11, 18, 20], 0.9065420560747663)","([0, 9, 15, 20], 0.8154205607476636)",0.7429906542056075
31,"([0, 11, 18, 20], 0.883177570093458)","([0, 9, 15, 18, 20], 0.8177570093457944)",0.735981308411215
32,"([0, 18, 20], 0.8714953271028038)","([0, 9, 20], 0.822429906542056)",0.7663551401869159
33,"([0, 18, 20], 0.8738317757009346)","([0, 9, 20], 0.8247663551401869)",0.7570093457943925
34,"([0, 18, 20], 0.8481308411214953)","([0, 9, 15, 20], 0.8317757009345794)",0.7873831775700935
35,"([0, 18, 20], 0.8714953271028038)","([0, 2, 11, 12, 15, 18, 20], 0.8107476635514018)",0.7336448598130841
36,"([0, 11, 18, 20], 0.8808411214953271)","([0, 9, 15, 20], 0.8037383177570093)",0.7850467289719626
37,"([0, 11, 18, 20], 0.8948598130841121)","([0, 11, 15, 20], 0.8341121495327103)",0.764018691588785
38,"([0, 11, 18, 20], 0.8738317757009346)","([0, 15, 18, 20], 0.8084112149532711)",0.7570093457943925
39,"([0, 11, 18, 20], 0.892271662763466)","([0, 9, 15, 20], 0.8266978922716628)",0.7166276346604216
40,"([0, 15, 18, 20], 0.8457943925233645)","([0, 9, 20], 0.7920560747663551)",0.764018691588785
41,"([0, 18, 20], 0.8738317757009346)","([0, 15, 20], 0.8247663551401869)",0.7546728971962616
42,"([0, 11, 18, 20], 0.8618266978922716)","([0, 9, 20], 0.7892271662763466)",0.7377049180327869
43,"([0, 11, 18, 20], 0.8621495327102804)","([0, 9, 11, 20], 0.8130841121495327)",0.7429906542056075
44,"([0, 11, 18, 20], 0.8714953271028038)","([0, 9, 15, 20], 0.8037383177570093)",0.7476635514018691
45,"([0, 11, 18, 20], 0.866822429906542)","([0, 15, 20], 0.8177570093457944)",0.7219626168224299
