run_id,LNClassifier,RandomForestClassifier,XGBoostClassifier,baseline error
0,"([np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(12), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(20), np.int64(22)], 0.8154205607476636)","([np.int64(0), np.int64(2), np.int64(18), np.int64(19), np.int64(20), np.int64(21)], 0.852803738317757)","([np.int64(0), np.int64(4), np.int64(9), np.int64(18), np.int64(20)], 0.8621495327102804)",0.7149532710280374
1,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22)], 0.8691588785046729)","([np.int64(0), np.int64(19), np.int64(20), np.int64(21)], 0.8411214953271028)","([np.int64(0), np.int64(4), np.int64(9), np.int64(12), np.int64(16), np.int64(18), np.int64(20)], 0.8504672897196262)",0.7453271028037384
2,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(16), np.int64(18), np.int64(20), np.int64(21), np.int64(22)], 0.8594847775175644)","([np.int64(0), np.int64(2), np.int64(18), np.int64(19), np.int64(20), np.int64(21)], 0.8852459016393442)","([np.int64(0), np.int64(4), np.int64(9), np.int64(12), np.int64(15), np.int64(16), np.int64(18), np.int64(20)], 0.8641686182669789)",0.7939110070257611
3,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(22)], 0.8878504672897196)","([np.int64(0), np.int64(2), np.int64(11), np.int64(19), np.int64(20), np.int64(21)], 0.8644859813084113)","([np.int64(0), np.int64(4), np.int64(9), np.int64(12), np.int64(13), np.int64(18), np.int64(20)], 0.8901869158878505)",0.7406542056074766
4,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(12), np.int64(13), np.int64(16), np.int64(18), np.int64(20), np.int64(21), np.int64(22)], 0.8430913348946136)","([np.int64(0), np.int64(11), np.int64(19), np.int64(20), np.int64(21)], 0.8618266978922716)","([np.int64(0), np.int64(4), np.int64(9), np.int64(12), np.int64(13), np.int64(18), np.int64(20)], 0.8805620608899297)",0.7822014051522248
5,"([np.int64(0), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(13), np.int64(15), np.int64(17), np.int64(18), np.int64(19), np.int64(20)], 0.8384074941451991)","([np.int64(0), np.int64(11), np.int64(19), np.int64(20), np.int64(21)], 0.8711943793911007)","([np.int64(0), np.int64(4), np.int64(11), np.int64(12), np.int64(18), np.int64(20)], 0.882903981264637)",0.7564402810304449
6,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(12), np.int64(13), np.int64(16), np.int64(17), np.int64(18), np.int64(20), np.int64(21), np.int64(22)], 0.8387850467289719)","([np.int64(0), np.int64(2), np.int64(3), np.int64(19), np.int64(20), np.int64(21)], 0.8551401869158879)","([np.int64(0), np.int64(4), np.int64(9), np.int64(13), np.int64(18), np.int64(20)], 0.8948598130841121)",0.7616822429906542
7,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(12), np.int64(13), np.int64(17), np.int64(18), np.int64(20), np.int64(21), np.int64(22)], 0.8290398126463701)","([np.int64(0), np.int64(19), np.int64(20), np.int64(21)], 0.8243559718969555)","([np.int64(0), np.int64(4), np.int64(12), np.int64(13), np.int64(18), np.int64(20)], 0.8618266978922716)",0.7423887587822015
8,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22)], 0.8995327102803738)","([np.int64(0), np.int64(19), np.int64(20), np.int64(21), np.int64(22)], 0.852803738317757)","([np.int64(0), np.int64(4), np.int64(9), np.int64(13), np.int64(18), np.int64(20)], 0.9042056074766355)",0.7616822429906542
9,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22)], 0.9088785046728972)","([np.int64(0), np.int64(2), np.int64(19), np.int64(20), np.int64(21)], 0.852803738317757)","([np.int64(0), np.int64(4), np.int64(9), np.int64(13), np.int64(18), np.int64(20)], 0.9088785046728972)",0.780373831775701
10,"([np.int64(0), np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(20), np.int64(21), np.int64(22)], 0.8761682242990654)","([np.int64(0), np.int64(19), np.int64(20), np.int64(21)], 0.852803738317757)","([np.int64(0), np.int64(4), np.int64(9), np.int64(11), np.int64(13), np.int64(18), np.int64(20)], 0.9112149532710281)",0.7570093457943925
11,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22)], 0.8691588785046729)","([np.int64(0), np.int64(19), np.int64(20), np.int64(21)], 0.8387850467289719)","([np.int64(0), np.int64(4), np.int64(16), np.int64(18), np.int64(20)], 0.8691588785046729)",0.764018691588785
