run_id,baseline error,LogisticRegressionCV
0,0.7149532710280374,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.8271028037383178)"
1,0.7453271028037384,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 14, 16, 17, 18, 19,
       20, 21, 22]), 0.852803738317757)"
2,0.7939110070257611,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.882903981264637)"
3,0.7406542056074766,"(array([ 0,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17, 18,
       19, 20, 21, 22]), 0.883177570093458)"
4,0.7822014051522248,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.8688524590163934)"
5,0.7564402810304449,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 14, 15, 16, 17, 18,
       19, 20, 22]), 0.8688524590163934)"
6,0.7616822429906542,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.8644859813084113)"
7,0.7423887587822015,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 14, 16, 18, 19, 20,
       21, 22]), 0.8384074941451991)"
8,0.7616822429906542,"(array([ 0,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 16, 17, 18, 19,
       20, 21, 22]), 0.8855140186915887)"
9,0.780373831775701,"(array([ 0,  1,  2,  3,  4,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17, 18,
       19, 20, 22]), 0.8901869158878505)"
10,0.7570093457943925,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.8878504672897196)"
11,0.764018691588785,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.8644859813084113)"
12,0.7850467289719626,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.8481308411214953)"
13,0.7546728971962616,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.8551401869158879)"
14,0.7757009345794392,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.8808411214953271)"
15,0.7172897196261683,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 14, 15, 16, 17, 18,
       19, 20, 21, 22]), 0.8481308411214953)"
16,0.7593457943925234,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.866822429906542)"
17,0.764018691588785,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.852803738317757)"
18,0.7663551401869159,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.8785046728971962)"
19,0.7593457943925234,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.8761682242990654)"
20,0.7570093457943925,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.883177570093458)"
21,0.7663551401869159,"(array([ 0,  1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17,
       18, 19, 20, 21, 22]), 0.866822429906542)"
22,0.7897196261682243,"(array([ 0,  1,  2,  3,  4,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17, 18,
       19, 20, 22]), 0.8598130841121495)"
23,0.7686915887850467,"(array([ 0,  2,  3,  4,  5,  6,  7,  8,  9, 11, 12, 13, 14, 15, 16, 17, 18,
       19, 20, 22]), 0.8481308411214953)"
