run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
0,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9120879120879121)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.8979591836734694)",0.5525902668759811
1,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9152276295133438)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9073783359497645)",0.5133437990580848
2,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9309262166405023)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9199372056514914)",0.5416012558869702
3,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.8932496075353218)","([74, 82, 84, 89, 92, 93, 94, 95, 97, 99, 104], 0.880690737833595)",0.5164835164835165
4,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9246467817896389)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9152276295133438)",0.5416012558869702
5,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.902668759811617)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8901098901098901)",0.5243328100470958
6,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9183673469387755)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9136577708006279)",0.5259026687598116
7,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9183673469387755)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9058084772370487)",0.5510204081632653
8,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9199372056514914)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9199372056514914)",0.5510204081632653
9,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9293563579277865)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9167974882260597)",0.5164835164835165
10,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9042386185243328)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8916797488226059)",0.5117739403453689
11,"([81, 83, 84, 89, 92, 99, 104], 0.8948194662480377)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9042386185243328)",0.5196232339089482
12,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.910377358490566)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8930817610062893)",0.5235849056603774
13,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9323899371069182)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.910377358490566)",0.529874213836478
14,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9042386185243328)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8901098901098901)",0.5023547880690737
15,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.940251572327044)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9198113207547169)",0.5235849056603774
16,"([84, 89, 92, 93, 94, 95, 99, 104], 0.9230769230769231)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9105180533751962)",0.5463108320251178
17,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.902668759811617)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.902668759811617)",0.5149136577708007
18,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9105180533751962)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9073783359497645)",0.5180533751962323
19,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9152276295133438)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8979591836734694)",0.5478806907378336
20,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9089481946624803)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8995290423861853)",0.5353218210361067
21,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9215070643642073)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8995290423861853)",0.49921507064364207
22,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9120879120879121)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9042386185243328)",0.5306122448979592
23,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9293563579277865)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9215070643642073)",0.4835164835164835
24,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9136577708006279)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8901098901098901)",0.5117739403453689
25,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9088050314465409)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.889937106918239)",0.49056603773584906
26,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9058084772370487)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8963893249607535)",0.5133437990580848
27,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9199372056514914)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9105180533751962)",0.5306122448979592
28,"([81, 83, 84, 89, 92, 93, 94, 95, 99, 104], 0.9042386185243328)","([82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.880690737833595)",0.521193092621664
29,"([81, 83, 84, 89, 92, 93, 94, 95, 99, 104], 0.9293563579277865)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9136577708006279)",0.5306122448979592
30,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9199372056514914)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9073783359497645)",0.5133437990580848
31,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9136577708006279)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8979591836734694)",0.49607535321821034
32,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.902668759811617)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8948194662480377)",0.5306122448979592
33,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9089481946624803)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8963893249607535)",0.5306122448979592
34,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9089481946624803)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.8885400313971743)",0.5039246467817896
35,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9229559748427673)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 99, 104], 0.9025157232704403)",0.5487421383647799
36,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9058084772370487)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8854003139717426)",0.5196232339089482
37,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9309262166405023)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9183673469387755)",0.5243328100470958
38,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9120879120879121)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8948194662480377)",0.5180533751962323
39,"([81, 83, 84, 89, 92, 93, 94, 95, 99, 104], 0.9058084772370487)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8916797488226059)",0.5086342229199372
40,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9009433962264151)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.8946540880503144)",0.5440251572327044
41,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9293563579277865)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9167974882260597)",0.5243328100470958
42,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9199372056514914)","([74, 82, 83, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9058084772370487)",0.5070643642072213
43,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9276729559748428)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9150943396226415)",0.550314465408805
44,"([82, 84, 89, 92, 93, 94, 95, 99, 104], 0.9199372056514914)","([74, 82, 84, 89, 92, 93, 94, 95, 96, 97, 99, 104], 0.9105180533751962)",0.5133437990580848
