run_id,baseline error,LogisticRegressionCV
0,0.5525902668759811,"(array([  4,   8,   9,  10,  11,  13,  14,  15,  17,  26,  27,  28,  30,
        35,  36,  38,  39,  40,  41,  42,  44,  45,  47,  48,  49,  50,
        51,  53,  54,  56,  57,  60,  62,  63,  65,  66,  68,  69,  70,
        71,  72,  74,  75,  77,  78,  81,  82,  83,  84,  89,  92,  93,
        94,  95,  96,  97,  98,  99, 100, 101, 104, 105, 106, 108, 111,
       112, 114, 115, 116, 117, 120, 122, 126, 131, 132, 133, 135, 136,
       138, 143, 145, 149, 150, 154, 158, 159, 162, 164, 165, 167, 168,
       169, 170, 177, 179]), 0.9607535321821036)"
1,0.5133437990580848,"(array([  2,   9,  13,  14,  15,  17,  18,  22,  26,  28,  30,  35,  36,
        38,  39,  41,  44,  45,  47,  48,  50,  51,  53,  54,  56,  57,
        58,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,
        77,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,  96,  97,
        98,  99, 100, 102, 104, 105, 106, 107, 108, 111, 114, 117, 120,
       122, 123, 126, 132, 135, 136, 138, 141, 143, 145, 147, 149, 150,
       151, 158, 159, 162, 164, 166, 167, 170, 171, 177, 179]), 0.9717425431711146)"
2,0.5416012558869702,"(array([  4,   8,   9,  11,  13,  14,  17,  19,  26,  27,  28,  29,  31,
        33,  35,  39,  41,  42,  44,  45,  48,  50,  51,  53,  54,  56,
        57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,
        77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,  96,
        97,  98,  99, 100, 101, 104, 105, 106, 110, 111, 113, 114, 117,
       120, 123, 126, 129, 131, 132, 135, 138, 143, 145, 149, 150, 151,
       154, 156, 157, 158, 159, 162, 164, 166, 167, 170, 171, 179]), 0.9607535321821036)"
3,0.5164835164835165,"(array([  8,   9,  11,  13,  14,  16,  17,  22,  24,  26,  28,  30,  35,
        36,  39,  41,  44,  45,  47,  48,  50,  51,  53,  54,  56,  57,
        60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,
        78,  81,  82,  83,  84,  89,  92,  93,  94,  95,  96,  97,  98,
        99, 100, 104, 105, 106, 108, 111, 114, 117, 120, 122, 123, 126,
       132, 133, 135, 137, 138, 143, 147, 149, 150, 159, 161, 162, 164,
       165, 166, 167, 170, 171, 177, 179]), 0.9560439560439561)"
4,0.5416012558869702,"(array([  9,  13,  14,  17,  23,  26,  28,  30,  35,  39,  41,  44,  45,
        47,  48,  50,  51,  53,  54,  56,  57,  60,  62,  63,  65,  66,
        68,  69,  70,  71,  72,  74,  75,  77,  78,  81,  82,  83,  84,
        89,  90,  91,  92,  93,  94,  95,  96,  97,  98,  99, 100, 102,
       104, 105, 106, 108, 111, 114, 117, 119, 120, 122, 123, 126, 135,
       138, 141, 142, 143, 149, 150, 152, 154, 156, 158, 162, 164, 165,
       166, 167, 168, 170, 177, 179]), 0.9701726844583988)"
5,0.5243328100470958,"(array([  8,   9,  13,  17,  27,  28,  29,  30,  35,  36,  39,  41,  43,
        44,  45,  47,  48,  50,  51,  53,  54,  56,  57,  60,  62,  63,
        64,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,  78,  81,
        82,  83,  84,  89,  92,  93,  94,  95,  96,  97,  98,  99, 100,
       102, 104, 105, 106, 108, 111, 114, 122, 132, 138, 143, 147, 149,
       150, 154, 156, 157, 164, 165, 166, 167, 170, 171, 172, 174, 177,
       179]), 0.9513343799058085)"
6,0.5259026687598116,"(array([  9,  10,  13,  14,  21,  26,  27,  28,  30,  35,  36,  38,  39,
        41,  44,  45,  47,  48,  51,  52,  53,  54,  56,  57,  60,  62,
        63,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,  78,  81,
        82,  83,  84,  89,  91,  92,  93,  94,  95,  96,  97,  98,  99,
       100, 101, 104, 105, 106, 108, 110, 111, 112, 114, 117, 120, 122,
       123, 131, 132, 135, 138, 143, 147, 149, 150, 154, 156, 158, 159,
       162, 164, 165, 166, 167, 170, 177, 179]), 0.9686028257456829)"
7,0.5510204081632653,"(array([  8,   9,  10,  13,  14,  15,  17,  23,  26,  28,  29,  30,  35,
        36,  37,  39,  41,  44,  45,  46,  47,  48,  50,  51,  53,  54,
        56,  57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,
        75,  77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,
        96,  97,  98,  99, 100, 104, 105, 106, 107, 108, 111, 112, 114,
       116, 117, 120, 122, 123, 126, 129, 130, 131, 132, 133, 135, 138,
       141, 143, 147, 149, 150, 154, 157, 158, 159, 161, 162, 164, 165,
       166, 167, 171, 177, 179]), 0.9623233908948194)"
8,0.5510204081632653,"(array([  2,   8,   9,  13,  14,  17,  18,  22,  26,  27,  28,  35,  41,
        44,  45,  47,  48,  50,  51,  53,  54,  56,  57,  58,  60,  62,
        63,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,  78,  81,
        82,  83,  84,  89,  92,  93,  94,  95,  96,  97,  98,  99, 100,
       101, 103, 104, 105, 106, 110, 111, 114, 116, 117, 120, 122, 123,
       126, 128, 131, 132, 135, 137, 138, 143, 149, 158, 159, 162, 166,
       167, 171, 175, 177, 179]), 0.9560439560439561)"
9,0.5164835164835165,"(array([  2,   8,   9,  10,  13,  14,  15,  16,  17,  19,  26,  27,  28,
        30,  35,  36,  38,  40,  41,  44,  45,  47,  48,  50,  51,  53,
        54,  56,  57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,
        74,  75,  77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,
        95,  96,  97,  98,  99, 100, 104, 105, 106, 107, 108, 111, 114,
       115, 117, 122, 123, 126, 135, 136, 138, 141, 143, 145, 147, 149,
       150, 153, 157, 159, 162, 165, 167, 171, 177, 179]), 0.9513343799058085)"
10,0.5117739403453689,"(array([  2,   9,  10,  13,  14,  16,  17,  26,  28,  30,  35,  36,  39,
        41,  44,  45,  47,  48,  50,  51,  53,  54,  56,  57,  60,  62,
        63,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,  81,  82,
        83,  84,  89,  91,  92,  93,  94,  95,  96,  97,  98,  99, 100,
       101, 104, 105, 106, 108, 111, 114, 120, 122, 123, 126, 129, 131,
       135, 143, 145, 149, 150, 156, 159, 162, 164, 166, 170, 171, 177,
       179]), 0.9560439560439561)"
11,0.5196232339089482,"(array([  2,   4,   5,   8,   9,  14,  17,  26,  28,  29,  35,  36,  41,
        42,  44,  45,  47,  48,  50,  51,  52,  53,  54,  56,  57,  60,
        62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,  81,
        82,  83,  84,  89,  91,  92,  93,  94,  95,  96,  97,  98,  99,
       104, 105, 106, 108, 109, 111, 114, 115, 117, 120, 122, 123, 126,
       131, 132, 135, 138, 139, 141, 143, 145, 149, 150, 158, 159, 162,
       165, 166, 167, 168, 170, 179]), 0.9638932496075353)"
12,0.5235849056603774,"(array([  2,   9,  10,  13,  14,  18,  22,  26,  27,  28,  30,  35,  36,
        37,  41,  44,  45,  47,  48,  49,  50,  51,  53,  54,  56,  57,
        60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,
        78,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,  96,  97,
        98,  99, 100, 101, 104, 105, 106, 107, 108, 111, 114, 115, 117,
       120, 122, 123, 126, 132, 135, 138, 143, 145, 147, 149, 150, 159,
       162, 165, 167, 169, 170, 171, 177, 179]), 0.9685534591194969)"
13,0.529874213836478,"(array([  2,   9,  13,  14,  21,  26,  27,  28,  30,  35,  36,  38,  39,
        40,  41,  42,  44,  45,  47,  48,  49,  50,  51,  53,  54,  56,
        57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,
        77,  78,  81,  82,  83,  84,  89,  92,  93,  94,  95,  96,  97,
        98,  99, 100, 102, 104, 105, 106, 108, 111, 112, 114, 117, 120,
       122, 123, 131, 132, 135, 138, 141, 142, 143, 147, 149, 150, 154,
       156, 157, 158, 162, 165, 166, 167, 169, 170, 177, 179]), 0.9654088050314465)"
14,0.5023547880690737,"(array([  5,   9,  13,  14,  15,  16,  17,  22,  26,  28,  29,  30,  35,
        36,  37,  40,  41,  44,  45,  47,  48,  50,  51,  53,  54,  56,
        57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,
        77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,  96,
        97,  98,  99, 100, 101, 104, 105, 106, 107, 108, 110, 111, 114,
       117, 120, 122, 123, 126, 131, 132, 133, 136, 138, 143, 147, 149,
       150, 152, 154, 156, 162, 165, 166, 167, 169, 170, 171, 174, 177,
       178, 179]), 0.9623233908948194)"
15,0.5235849056603774,"(array([  8,   9,  11,  13,  14,  17,  26,  27,  28,  30,  35,  41,  42,
        44,  45,  47,  48,  50,  51,  53,  54,  56,  57,  60,  62,  63,
        65,  66,  68,  69,  70,  71,  72,  74,  75,  77,  78,  81,  82,
        83,  84,  89,  91,  92,  93,  94,  95,  96,  97,  98,  99, 100,
       101, 102, 104, 105, 106, 107, 111, 112, 114, 115, 116, 117, 120,
       122, 123, 131, 135, 138, 142, 143, 149, 150, 154, 157, 158, 159,
       162, 164, 165, 166, 167, 171, 177, 179]), 0.9716981132075472)"
16,0.5463108320251178,"(array([  4,   8,   9,  10,  13,  14,  15,  17,  20,  22,  26,  28,  30,
        31,  35,  36,  39,  41,  44,  45,  47,  48,  50,  51,  53,  54,
        56,  57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,
        75,  77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,
        96,  97,  98,  99, 100, 101, 104, 105, 106, 108, 111, 114, 116,
       117, 118, 120, 122, 123, 126, 131, 132, 135, 141, 143, 145, 149,
       150, 154, 158, 159, 162, 164, 165, 166, 167, 171, 177, 179]), 0.9607535321821036)"
17,0.5149136577708007,"(array([  8,   9,  10,  13,  14,  16,  22,  26,  28,  29,  30,  31,  35,
        36,  39,  41,  42,  44,  45,  47,  48,  50,  51,  52,  53,  54,
        56,  57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,
        75,  77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,
        96,  97,  98,  99, 101, 104, 105, 106, 107, 108, 111, 114, 116,
       117, 120, 122, 123, 126, 129, 131, 132, 135, 136, 138, 141, 143,
       149, 150, 154, 166, 167, 168, 170, 177, 179]), 0.9560439560439561)"
18,0.5180533751962323,"(array([  2,   9,  10,  13,  14,  17,  18,  22,  26,  28,  30,  35,  36,
        38,  41,  44,  45,  47,  48,  50,  51,  53,  54,  56,  57,  60,
        62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,  78,
        81,  82,  83,  84,  89,  91,  92,  93,  94,  95,  96,  97,  98,
        99, 100, 101, 102, 104, 105, 106, 111, 112, 114, 115, 117, 122,
       123, 131, 132, 135, 138, 143, 147, 149, 150, 152, 153, 154, 157,
       158, 159, 162, 164, 165, 166, 167, 170, 171, 177, 178, 179]), 0.967032967032967)"
19,0.5478806907378336,"(array([  9,  10,  13,  14,  15,  17,  18,  22,  26,  28,  29,  30,  35,
        36,  41,  44,  45,  47,  48,  50,  51,  54,  56,  57,  59,  60,
        62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,  78,
        81,  82,  83,  84,  89,  91,  92,  93,  94,  95,  96,  97,  98,
        99, 100, 102, 104, 105, 106, 108, 111, 112, 114, 115, 117, 120,
       122, 123, 126, 132, 135, 138, 142, 143, 145, 149, 150, 159, 162,
       164, 165, 167, 169, 170, 171, 177, 179]), 0.9701726844583988)"
20,0.5353218210361067,"(array([  1,   9,  11,  13,  18,  26,  28,  29,  30,  35,  36,  37,  41,
        44,  45,  47,  48,  49,  50,  51,  53,  54,  56,  57,  60,  62,
        63,  65,  66,  67,  68,  69,  71,  72,  74,  75,  77,  78,  81,
        82,  83,  84,  89,  91,  92,  93,  94,  95,  96,  97,  98,  99,
       100, 102, 104, 105, 106, 107, 108, 111, 112, 114, 117, 120, 122,
       123, 129, 131, 132, 138, 143, 145, 147, 149, 150, 154, 156, 158,
       159, 162, 164, 166, 167, 168, 170, 171, 177, 179]), 0.9481946624803768)"
21,0.49921507064364207,"(array([  4,   5,   9,  13,  14,  17,  18,  26,  27,  28,  29,  30,  31,
        35,  36,  37,  39,  41,  42,  44,  45,  46,  47,  48,  50,  51,
        52,  53,  54,  56,  57,  60,  62,  63,  65,  66,  68,  69,  70,
        71,  72,  74,  75,  77,  78,  81,  82,  83,  84,  89,  90,  91,
        92,  93,  94,  95,  96,  97,  98,  99, 100, 101, 104, 105, 106,
       109, 111, 112, 114, 117, 120, 122, 123, 126, 131, 132, 135, 138,
       140, 143, 145, 147, 149, 150, 156, 158, 162, 164, 165, 166, 167,
       169, 171, 179]), 0.967032967032967)"
22,0.5306122448979592,"(array([  2,   9,  13,  14,  17,  18,  21,  26,  28,  30,  35,  36,  39,
        41,  42,  44,  45,  48,  50,  51,  53,  54,  56,  57,  60,  62,
        63,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,  78,  81,
        82,  83,  84,  89,  91,  92,  93,  94,  95,  96,  97,  98,  99,
       101, 104, 105, 106, 107, 110, 111, 114, 115, 117, 120, 122, 123,
       126, 131, 132, 135, 136, 138, 141, 143, 147, 149, 150, 154, 156,
       159, 162, 164, 166, 167, 168, 170, 171, 174, 177, 179]), 0.9544740973312402)"
23,0.4835164835164835,"(array([  2,   8,   9,  10,  13,  14,  15,  16,  17,  19,  22,  26,  28,
        29,  30,  35,  36,  39,  41,  42,  44,  45,  47,  48,  49,  50,
        51,  53,  54,  56,  57,  58,  60,  62,  63,  65,  66,  68,  69,
        70,  71,  72,  74,  75,  77,  81,  82,  83,  84,  89,  92,  93,
        94,  95,  96,  97,  98,  99, 100, 101, 102, 104, 105, 106, 107,
       108, 109, 111, 114, 122, 123, 126, 127, 135, 136, 138, 141, 143,
       147, 149, 150, 154, 156, 158, 159, 161, 164, 167, 168, 171, 177,
       179]), 0.967032967032967)"
24,0.5117739403453689,"(array([  2,   8,   9,  10,  13,  14,  15,  17,  21,  22,  25,  26,  27,
        28,  30,  35,  36,  38,  39,  41,  44,  47,  48,  50,  51,  53,
        54,  56,  57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,
        74,  75,  77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,
        95,  96,  97,  98,  99, 100, 104, 105, 106, 112, 114, 117, 120,
       122, 123, 132, 135, 138, 142, 143, 147, 149, 150, 151, 157, 159,
       162, 165, 167, 170, 171, 177, 178, 179]), 0.957613814756672)"
25,0.49056603773584906,"(array([  8,   9,  10,  13,  14,  19,  26,  27,  28,  30,  31,  35,  36,
        39,  41,  42,  44,  45,  47,  48,  50,  51,  53,  54,  56,  57,
        60,  62,  63,  64,  65,  66,  68,  69,  70,  71,  72,  74,  75,
        77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,  96,
        97,  98,  99, 100, 101, 104, 105, 106, 108, 110, 111, 114, 117,
       120, 122, 123, 126, 132, 135, 138, 141, 143, 145, 149, 150, 151,
       158, 159, 162, 164, 166, 167, 170, 171, 177, 179]), 0.9622641509433962)"
26,0.5133437990580848,"(array([  9,  10,  11,  14,  18,  26,  28,  35,  36,  37,  39,  41,  44,
        45,  46,  47,  48,  49,  51,  53,  54,  56,  57,  60,  62,  63,
        64,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,  81,  82,
        83,  84,  89,  91,  92,  93,  94,  95,  96,  97,  98,  99, 101,
       104, 105, 106, 111, 112, 114, 116, 117, 120, 122, 123, 126, 132,
       135, 136, 138, 141, 143, 145, 149, 150, 157, 158, 159, 162, 164,
       165, 167, 170, 171, 177, 179]), 0.9466248037676609)"
27,0.5306122448979592,"(array([  2,   8,   9,  10,  13,  14,  17,  18,  22,  26,  28,  30,  31,
        32,  35,  36,  39,  41,  42,  44,  45,  47,  48,  50,  51,  53,
        54,  56,  57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,
        74,  75,  77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,
        95,  96,  97,  98,  99, 100, 102, 104, 105, 106, 108, 111, 112,
       114, 117, 120, 126, 135, 138, 141, 143, 145, 149, 150, 154, 158,
       159, 162, 164, 165, 167, 171, 177, 179]), 0.9654631083202512)"
28,0.521193092621664,"(array([  2,   8,   9,  10,  13,  14,  16,  17,  22,  26,  28,  30,  33,
        35,  36,  37,  41,  42,  44,  45,  47,  48,  49,  50,  51,  52,
        53,  54,  56,  57,  60,  62,  63,  65,  66,  68,  69,  70,  71,
        72,  74,  75,  77,  78,  81,  82,  83,  84,  89,  91,  92,  93,
        94,  95,  96,  97,  98,  99, 100, 104, 105, 106, 107, 108, 111,
       114, 116, 117, 119, 120, 122, 123, 127, 131, 132, 137, 138, 141,
       143, 147, 149, 150, 154, 158, 159, 162, 166, 167, 170, 171, 177,
       179]), 0.9607535321821036)"
29,0.5306122448979592,"(array([  9,  10,  11,  13,  15,  17,  24,  26,  27,  28,  35,  36,  37,
        41,  44,  45,  48,  50,  51,  53,  54,  56,  57,  60,  62,  63,
        65,  66,  68,  69,  70,  71,  72,  74,  75,  77,  78,  81,  82,
        83,  84,  89,  91,  92,  93,  94,  95,  96,  97,  98,  99, 100,
       101, 104, 105, 106, 108, 111, 114, 117, 120, 122, 126, 131, 133,
       135, 138, 141, 143, 149, 150, 153, 158, 159, 162, 164, 166, 167,
       168, 169, 171, 173, 179]), 0.9497645211930926)"
30,0.5133437990580848,"(array([  2,   8,   9,  10,  13,  14,  21,  26,  27,  28,  35,  36,  39,
        41,  44,  45,  47,  48,  49,  50,  51,  52,  53,  54,  56,  57,
        60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,
        78,  81,  82,  83,  84,  89,  92,  93,  94,  95,  96,  97,  98,
        99, 100, 101, 104, 105, 106, 111, 114, 115, 116, 117, 120, 122,
       123, 126, 130, 135, 138, 143, 145, 147, 149, 150, 158, 159, 162,
       164, 165, 167, 168, 177, 179]), 0.9591836734693877)"
31,0.49607535321821034,"(array([  8,   9,  10,  13,  14,  17,  26,  27,  28,  29,  30,  33,  35,
        36,  40,  41,  42,  44,  45,  47,  48,  49,  51,  53,  54,  56,
        57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,
        77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,  96,
        97,  98,  99, 100, 104, 105, 106, 108, 109, 111, 114, 115, 116,
       117, 120, 122, 123, 126, 135, 136, 138, 141, 143, 145, 147, 149,
       150, 154, 158, 162, 164, 165, 167, 170, 179]), 0.957613814756672)"
32,0.5306122448979592,"(array([  9,  10,  13,  14,  15,  17,  22,  26,  27,  28,  30,  31,  35,
        36,  37,  38,  39,  41,  42,  44,  45,  47,  48,  50,  51,  53,
        54,  56,  57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,
        74,  75,  77,  78,  81,  82,  83,  84,  89,  92,  93,  94,  95,
        96,  97,  98,  99, 100, 101, 104, 105, 106, 108, 111, 114, 117,
       122, 123, 126, 131, 132, 135, 138, 140, 142, 143, 145, 149, 150,
       157, 158, 159, 162, 167, 170, 177, 179]), 0.9623233908948194)"
33,0.5306122448979592,"(array([  2,   5,   8,   9,  10,  13,  14,  17,  22,  26,  28,  29,  30,
        31,  35,  36,  37,  38,  39,  41,  42,  44,  45,  47,  48,  50,
        51,  53,  54,  56,  57,  60,  62,  63,  65,  66,  68,  69,  70,
        71,  72,  74,  75,  77,  78,  81,  82,  83,  84,  89,  91,  92,
        93,  94,  95,  96,  97,  98,  99, 100, 101, 104, 105, 106, 110,
       111, 114, 117, 120, 122, 123, 131, 132, 135, 138, 143, 147, 149,
       150, 151, 157, 158, 159, 162, 163, 164, 165, 167, 170, 177, 179]), 0.9560439560439561)"
34,0.5039246467817896,"(array([  8,   9,  10,  13,  14,  17,  26,  27,  28,  29,  30,  33,  35,
        39,  40,  41,  44,  45,  47,  48,  49,  50,  51,  53,  54,  56,
        57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,
        77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,  96,
        97,  98,  99, 100, 104, 105, 106, 107, 108, 114, 117, 120, 122,
       123, 130, 132, 135, 138, 143, 145, 147, 149, 150, 159, 164, 166,
       167, 169, 170, 171, 177, 179]), 0.9623233908948194)"
35,0.5487421383647799,"(array([  2,   9,  10,  13,  14,  18,  22,  26,  27,  28,  30,  35,  36,
        39,  41,  42,  44,  45,  47,  48,  49,  50,  51,  53,  54,  56,
        57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,
        77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,  96,
        97,  98,  99, 100, 101, 104, 105, 106, 107, 108, 111, 114, 117,
       120, 122, 123, 131, 135, 138, 141, 143, 147, 149, 150, 154, 157,
       159, 162, 164, 165, 167, 168, 169, 170, 171, 177, 179]), 0.9764150943396226)"
36,0.5196232339089482,"(array([  8,   9,  10,  13,  14,  17,  26,  27,  28,  30,  33,  35,  36,
        39,  41,  44,  45,  47,  48,  50,  51,  53,  54,  56,  57,  60,
        62,  63,  64,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,
        78,  81,  82,  83,  84,  89,  90,  91,  92,  93,  94,  95,  96,
        97,  99, 100, 104, 105, 106, 107, 108, 110, 111, 112, 114, 116,
       117, 122, 123, 132, 135, 138, 141, 142, 143, 145, 149, 150, 151,
       156, 157, 158, 159, 162, 164, 165, 166, 167, 168, 170, 177, 179]), 0.9623233908948194)"
37,0.5243328100470958,"(array([  2,   8,   9,  10,  11,  13,  14,  17,  26,  27,  28,  29,  30,
        35,  41,  42,  44,  45,  47,  48,  49,  50,  51,  53,  54,  56,
        57,  60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,
        77,  78,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,  96,
        97,  98,  99, 100, 101, 104, 105, 106, 107, 108, 111, 114, 117,
       120, 122, 123, 126, 130, 131, 132, 135, 138, 141, 143, 147, 149,
       150, 151, 159, 162, 164, 167, 177, 179]), 0.9701726844583988)"
38,0.5180533751962323,"(array([  1,   9,  11,  14,  15,  16,  22,  26,  28,  30,  35,  36,  39,
        41,  44,  45,  48,  49,  50,  51,  52,  53,  54,  56,  57,  58,
        60,  62,  63,  65,  66,  68,  69,  70,  71,  72,  74,  75,  77,
        78,  81,  82,  83,  84,  89,  91,  92,  93,  94,  95,  96,  97,
        98,  99, 100, 101, 104, 105, 106, 107, 108, 112, 114, 117, 120,
       122, 123, 131, 132, 135, 136, 138, 143, 145, 149, 150, 154, 158,
       162, 164, 167, 170, 177, 179]), 0.9654631083202512)"
39,0.5086342229199372,"(array([  2,   4,   8,   9,  10,  11,  13,  14,  16,  17,  22,  26,  27,
        28,  35,  36,  37,  39,  41,  44,  45,  47,  48,  50,  51,  52,
        53,  54,  56,  57,  60,  62,  63,  65,  66,  68,  69,  70,  71,
        72,  74,  75,  77,  78,  81,  82,  83,  84,  89,  91,  92,  93,
        94,  95,  96,  97,  98,  99, 100, 101, 104, 105, 106, 107, 109,
       111, 114, 115, 116, 117, 119, 120, 122, 123, 125, 126, 128, 129,
       132, 134, 135, 138, 143, 145, 147, 149, 150, 154, 156, 158, 159,
       162, 165, 166, 167, 170, 171, 179]), 0.9560439560439561)"
