0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1975,2165,1125,1415,2617,2888,2990,2605,2811,278,1907,2130,2755,585,1111,1167,72,2626,2027,2735,1536,446,2893,1257,2561,1752,1466,3131,746,801,2455,1773,2530,963,2450,1359,2740,2163,1083,1961,581,1894,791,1487,1668,2759,2419,88,2367,2741
2266,1722,947,2093,3025,2339,2446,2788,1176,473,2923,2409,712,2422,1845,403,2168,2813,477,2527,1574,303,2113,366,2953,128,2592,370,1466,3164,410,321,3185,1197,2012,2859,1035,1576,1761,2712,1666,848,2109,2342,310,1595,2061,1947,572,2780
2173,1421,1744,958,1357,65,1257,3073,434,3056,2852,1051,352,3063,942,2938,1641,517,600,1379,1076,1940,1362,2565,2080,1707,1447,20,494,113,1482,128,1217,1643,1876,3029,1660,2695,1284,2307,498,821,2846,1020,701,1136,1263,1620,131,0
1206,708,2741,367,3059,2673,2,3055,2668,618,2588,18,369,2616,2780,1746,1224,488,1113,922,537,842,1424,557,2905,1758,900,2370,1445,2480,1748,1858,2346,2618,1653,2620,1118,2899,2884,2458,1274,3,55,2546,195,3108,1075,508,2617,2093
585,268,1148,2650,119,823,1258,1301,1443,1163,75,1783,868,1196,2555,550,1447,2176,296,2163,2644,402,2072,1267,2505,1855,168,280,1712,1608,734,2045,742,646,1356,2081,2583,1504,188,2159,2771,1909,3137,1652,501,2895,760,1818,443,2866
3170,1994,336,650,986,996,1652,1525,1159,1942,1624,57,2951,843,755,1529,1741,1364,1563,501,1783,3171,2879,1565,1717,1747,2959,2010,6,2935,1196,2456,1554,2591,1127,2471,2183,375,3057,1260,2041,2066,598,449,2105,727,816,2091,2682,2070
1421,498,300,483,2256,327,1305,2339,950,2555,1514,2255,818,1589,1612,475,2011,3036,2360,966,2009,1761,147,1034,1231,1873,2798,1432,3163,699,676,2186,1952,2321,2901,574,693,924,1279,1229,2174,2915,2534,1354,1804,382,2470,176,372,1633
2937,2115,387,1708,2305,1771,2344,51,2425,755,2754,53,313,1408,217,1556,2096,1203,1356,1178,1545,5,2117,1618,2670,421,801,2045,2076,1496,2183,2863,1007,2737,965,2900,2085,997,2572,1110,1517,528,472,501,2611,2243,1445,2937,33,1484
3026,1909,848,376,2168,2856,3107,1190,912,2166,1846,305,2044,2796,2053,2510,406,2785,952,2449,2275,1815,1481,2305,3005,2238,1194,2331,99,1911,2213,1316,179,2841,2610,2037,1492,2354,498,2807,914,2878,1464,2633,1683,1534,2454,2721,963,2418
2862,2709,1431,2166,1304,1499,458,1311,3161,872,3042,910,848,472,1035,998,1740,2839,783,1803,1334,792,678,2918,2976,2431,573,2507,729,1246,1335,701,3056,2665,2220,948,527,797,2287,41,2262,832,998,699,1921,158,469,403,173,314
473,1783,1704,1779,2573,122,128,304,542,2893,1832,1650,379,1236,2692,736,2410,2504,2697,3007,445,349,673,1127,221,2221,334,2313,2435,2901,685,2865,2813,1533,175,1549,1763,2814,1077,2975,2013,765,1725,1229,2999,2635,2487,2223,199,1686
2558,783,44,2760,1595,951,999,3097,2532,2953,2485,2509,464,565,2182,360,345,1421,1517,1124,480,2639,1389,2065,2432,903,261,1292,152,2184,630,1918,3015,1400,1612,165,2726,1967,2004,2944,2414,2586,2000,1947,2970,82,2337,414,1264,1404
1372,522,1495,1603,1283,2237,615,351,2157,202,2337,1290,2984,3125,1283,1213,2453,58,494,3111,2083,2816,1973,3027,1090,824,2090,2390,1006,2857,2118,1280,1485,989,1278,606,1684,1044,359,2777,2062,2566,1971,1752,2543,2368,439,2047,2854,5
74,3117,496,1099,2104,2493,441,2070,1468,796,2749,2192,2954,483,938,234,805,1610,762,1893,3169,2439,1831,2743,1417,1517,1134,2139,673,561,2093,1024,2675,2583,996,665,559,960,353,951,1856,1167,291,2799,1632,2733,2440,2801,1816,2817
361,633,1826,1835,2518,279,2968,68,1105,1372,1159,908,1849,1053,738,2156,223,374,1073,1494,2912,1485,2688,2496,2498,3001,731,2638,346,866,1258,1445,42,1287,3084,660,1959,1264,2300,2281,1987,2017,1908,2888,2189,274,1878,2746,1664,1258
1101,2838,842,2128,30,1170,1698,2807,7,3010,611,2008,2955,833,2274,421,533,2653,276,2192,1154,2066,825,1368,2406,1493,172,1900,1187,1878,1179,1498,2937,2453,1230,294,1046,1009,818,2473,1716,257,1671,2244,2039,1170,2461,2442,716,812
