run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
0,"([3, 4, 10, 12, 13, 15], 0.910072735287635)","([1, 3, 4, 5, 10, 12, 15], 0.904342076261847)",0.2605245757108221
1,"([1, 4, 5, 10, 12, 15], 0.9127176548379987)","([1, 3, 4, 5, 10, 12, 15], 0.8979501873484681)",0.2596429358607009
2,"([3, 4, 5, 10, 12, 15], 0.9138007054673721)","([1, 3, 4, 5, 10, 12, 15], 0.9021164021164021)",0.25617283950617287
3,"([3, 4, 5, 10, 12, 15], 0.9144620811287478)","([1, 3, 4, 5, 10, 12, 15], 0.9069664902998237)",0.25617283950617287
4,"([1, 4, 5, 10, 12, 15], 0.9085298655499229)","([1, 3, 4, 5, 10, 12, 15], 0.9016971567114833)",0.27463081331276173
5,"([1, 4, 5, 10, 12, 15], 0.9089706854749835)","([1, 3, 4, 5, 10, 12, 15], 0.9001542869737712)",0.26515318492395856
6,"([3, 4, 5, 10, 12, 15], 0.9109543751377562)","([1, 3, 4, 5, 10, 12, 15], 0.9076482256998016)",0.26493277496142825
7,"([3, 4, 5, 10, 12, 15], 0.9076278659611993)","([1, 3, 4, 5, 10, 12, 15], 0.8913139329805997)",0.26146384479717816
8,"([3, 4, 5, 10, 12, 15], 0.9083094555873925)","([1, 3, 4, 5, 10, 12, 15], 0.904342076261847)",0.2642715450738373
9,"([1, 4, 5, 10, 12, 15], 0.9096319153625744)","([1, 3, 4, 5, 10, 12, 15], 0.9036808463742562)",0.27154507383733745
10,"([3, 4, 10, 12, 13, 15], 0.9168871252204586)","([1, 3, 4, 5, 10, 12, 15], 0.9071869488536155)",0.25771604938271603
11,"([3, 4, 5, 10, 12, 15], 0.904342076261847)","([1, 3, 4, 5, 10, 12, 15], 0.9023583865990743)",0.2662552347366101
12,"([3, 4, 5, 10, 12, 15], 0.9118165784832452)","([1, 3, 4, 5, 10, 12, 15], 0.906305114638448)",0.25992063492063494
13,"([1, 4, 5, 10, 12, 15], 0.9032400264491955)","([1, 3, 4, 5, 10, 12, 15], 0.9005951068988318)",0.26030416574829185
14,"([1, 4, 5, 10, 12, 15], 0.91359929468812)","([1, 3, 4, 5, 10, 12, 15], 0.9058849459995592)",0.272647123649989
15,"([3, 4, 5, 10, 12, 15], 0.9063257659246198)","([1, 3, 4, 5, 10, 12, 15], 0.9025787965616046)",0.26338990522371614
16,"([3, 4, 5, 10, 12, 15], 0.91359929468812)","([1, 3, 4, 5, 10, 12, 15], 0.9069869958122108)",0.2558959664976857
17,"([1, 4, 5, 10, 12, 15], 0.9102931452501654)","([1, 3, 4, 5, 10, 12, 15], 0.9014767467489531)",0.26030416574829185
18,"([4, 5, 7, 10, 12, 15], 0.9076278659611993)","([1, 3, 4, 5, 10, 12, 15], 0.8996913580246914)",0.263668430335097
19,"([3, 4, 10, 12, 13, 15], 0.9219748732642715)","([1, 3, 4, 5, 10, 12, 15], 0.9144809345382411)",0.26493277496142825
20,"([1, 4, 5, 10, 12, 15], 0.912938064800529)","([1, 3, 4, 5, 10, 12, 15], 0.9032400264491955)",0.26008375578576154
21,"([3, 4, 5, 10, 12, 15], 0.9169054441260746)","([1, 3, 4, 5, 10, 12, 15], 0.9113951950628169)",0.26493277496142825
22,"([1, 4, 5, 10, 12, 15], 0.9210932334141503)","([1, 3, 4, 5, 10, 12, 15], 0.9096319153625744)",0.2655940048490192
23,"([3, 4, 10, 12, 13, 15], 0.9162442142384836)","([1, 3, 4, 5, 10, 12, 15], 0.9078686356623319)",0.25832047608551906
24,"([3, 4, 5, 10, 12, 15], 0.907207405774741)","([1, 3, 4, 5, 10, 12, 15], 0.9012563367864227)",0.25854088604804937
25,"([3, 4, 5, 10, 12, 15], 0.9096319153625744)","([1, 3, 4, 5, 10, 12, 15], 0.9027992065241349)",0.26184703548600397
26,"([1, 4, 5, 10, 12, 15], 0.9138197046506502)","([1, 3, 4, 5, 10, 12, 15], 0.9074278157372713)",0.2629490852986555
27,"([3, 4, 5, 10, 12, 15], 0.9111747851002865)","([1, 3, 4, 5, 10, 12, 15], 0.9109543751377562)",0.26823892439938285
28,"([1, 4, 5, 10, 12, 15], 0.9078686356623319)","([1, 3, 4, 5, 10, 12, 15], 0.9005951068988318)",0.2508265373594886
29,"([0, 4, 10, 12, 13, 15], 0.9131393298059964)","([1, 3, 4, 5, 10, 12, 15], 0.9069664902998237)",0.26146384479717816
30,"([3, 4, 5, 10, 12, 15], 0.9146825396825397)","([1, 3, 4, 5, 10, 12, 15], 0.9069664902998237)",0.2570546737213404
31,"([1, 4, 5, 10, 12, 15], 0.9036596119929453)","([1, 3, 4, 5, 10, 12, 15], 0.9021164021164021)",0.2621252204585538
32,"([3, 4, 5, 10, 12, 15], 0.9115961199294532)","([1, 3, 4, 5, 10, 12, 15], 0.9067460317460317)",0.26322751322751325
33,"([1, 4, 5, 10, 12, 15], 0.9182279039012563)","([1, 3, 4, 5, 10, 12, 15], 0.9133788847255896)",0.2607449856733524
34,"([3, 4, 10, 12, 13, 15], 0.9124972448754683)","([1, 3, 4, 5, 10, 12, 15], 0.9061053559620895)",0.2605245757108221
35,"([3, 4, 5, 10, 12, 15], 0.9091910954375138)","([1, 3, 4, 5, 10, 12, 15], 0.9032400264491955)",0.25854088604804937
