0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
12349,1073,12090,11899,10016,4109,7135,7719,7917,7713,2748,7020,8343,4166,5771,12362,7850,2140,11980,1871,3209,7819,5201,7063,1535,10188,3731,8247,2375,10162,4431,7115,7548,11674,13371,6394,4083,3360,7131,9270,6866,3450,12665,2574,376,7434,11822,4592,11905,8710
5507,13190,6556,4601,3170,5440,12049,13220,321,8046,9584,9624,2853,8298,12851,6545,6685,2055,951,2759,6389,5341,2988,7671,1937,12352,7497,5287,693,11425,571,12840,9481,9761,10177,28,812,421,12859,12465,4581,3150,1296,2688,9671,1487,10877,5370,10322,4591
11989,73,9374,8766,885,10160,4543,7150,12087,7206,11822,13553,1245,6634,3936,4052,7037,3314,1211,11958,11043,3967,10009,7146,2698,7869,11712,5518,2598,12142,2863,6216,13500,6194,3828,5064,10275,6868,694,4759,5991,10470,5542,10007,2207,5048,4459,3033,3229,10236
1418,12787,4175,9856,10931,3281,6891,7928,13061,13098,5091,4723,10859,1048,10395,9125,5231,419,12559,11820,9776,12529,10320,13578,10411,5166,2525,9270,1227,3377,6653,3393,8827,11988,6059,5791,7546,12149,2044,1658,7339,3707,2542,11362,11914,7689,8051,3869,8618,13423
12839,1905,13561,1829,10573,2887,4029,13380,7732,13142,12277,836,12947,5883,7826,4608,2392,6921,8111,11596,210,7544,12543,13160,9057,1622,3758,2529,5175,10646,11616,5220,13520,5846,2812,3116,3016,10808,7704,6116,60,7574,2560,2027,5330,13452,7952,3247,13353,11364
12104,2937,6218,10577,380,370,5175,4323,9476,2489,9384,2970,2296,12432,13155,5261,7958,4138,4099,2438,7873,6254,7591,7695,7912,2300,3779,11512,5160,13158,5381,9211,1630,10359,11463,3562,925,5318,10931,8540,5702,1223,11909,5486,7140,9163,8637,10121,13439,3503
8784,7714,2738,6200,3631,9869,6446,4915,12709,12691,11307,1012,10962,10362,10398,2845,960,8698,1937,11161,3100,9320,13345,2689,8705,13147,4907,13461,11499,9376,3986,12210,7322,5275,6006,9777,8847,11493,8384,6099,6327,6673,285,11307,7941,7564,363,5594,1712,7670
7112,3209,6317,227,811,5285,3143,12502,817,10166,6959,4165,12266,13455,3663,10507,6835,7558,8299,228,3243,6536,5930,676,2255,12670,3934,501,5915,4169,3087,4147,2034,4707,9661,6082,765,3430,10831,3917,7291,4295,11707,13376,7700,11006,11253,8368,3225,9731
13563,3238,4006,1822,4398,2466,8709,3470,2938,6396,6876,8384,11173,1375,4175,1577,10188,859,4829,10,11796,11415,12622,3070,4879,10819,7218,4409,11815,4048,12698,5597,10127,1840,11716,10048,3969,12419,11400,2778,6385,11323,1885,3845,11174,5167,408,2698,10288,4124
10720,9911,8010,1395,12376,12796,12577,12562,11292,5383,5326,10509,11730,5949,9050,6104,8682,8184,5586,11595,849,11757,5774,2541,1950,12395,4636,2017,9442,1876,4281,11328,2194,360,6018,6876,7088,10900,914,11577,4203,6824,4164,6709,5947,8563,446,353,12305,3606
2868,6300,6311,4785,6642,13078,355,10861,9001,6510,11138,9589,10080,13571,8828,440,5525,5707,11473,12811,5438,7035,8276,8565,5966,13051,1553,8493,1197,2544,12581,4403,9458,10072,8941,4959,3147,7910,1079,11274,1757,10612,8815,12585,10630,9493,13007,1828,11742,5483
9229,9864,749,1480,8135,13098,1516,790,10064,5155,13515,2085,4635,917,2368,12913,1573,4699,10925,4874,4317,13189,10270,10184,8462,945,3025,5469,9730,3271,12934,4684,13123,4322,1346,8343,9524,4626,3486,11445,8179,10039,7662,10606,902,12862,12948,13215,596,4537
672,4245,2734,13520,100,1392,12599,10520,13277,10310,8236,8657,13207,7226,12682,618,5095,9333,936,7977,8385,8396,5161,2626,9940,1718,9710,7516,11041,3029,4830,3006,7463,4063,7223,1374,11582,11512,12939,11706,2538,8312,6474,10087,3718,9234,2426,9308,6984,11444
9499,5252,13518,12995,2969,3389,3335,5698,2167,12108,2291,4958,8761,10907,4570,480,5431,4616,920,10263,91,9138,8951,1009,11090,4022,7819,8037,3639,2748,7052,296,13211,11957,10266,4456,4805,1407,3350,5452,6018,2410,5645,2204,10994,871,6246,11771,11357,9084
4727,973,7188,10241,986,8799,4377,7590,5564,1987,1952,7909,7224,8590,7286,13072,6490,11964,3620,2903,5426,9712,2035,9951,3858,12820,3428,2138,11343,135,13082,9404,8655,11717,11484,9103,11123,466,3164,5268,7411,8215,777,3150,3022,8184,5955,10686,7814,2382
5705,12929,8575,10663,10679,13452,8503,1435,11197,2533,6041,12118,12096,9000,13137,4413,7570,9346,1588,12938,5455,12641,12024,5285,5601,2867,12163,13589,8455,6667,11180,3965,8629,6780,6031,4925,6417,5927,10205,3325,9984,2431,9055,13035,230,9243,7286,5842,3070,6611
6353,4570,13410,9048,4632,4507,1692,74,9447,5094,644,12036,7952,2698,7554,9755,2855,7820,9320,2657,1496,1036,4169,12365,8882,10404,2108,8689,9859,10698,4978,1895,1993,1028,10384,7804,10089,3230,8250,4883,2344,5876,9161,1844,9744,4894,11051,11407,9638,10331
1089,5511,3596,3114,3044,5370,2309,2332,5967,4664,12562,12306,11396,11773,4399,1779,2102,10353,4416,8482,3071,11249,3100,1358,1412,1112,13564,9432,1800,10588,4354,5401,6125,13151,9702,12156,5704,2650,517,10305,3582,11871,2174,1002,1238,7485,9337,488,3343,6575
7104,6298,5448,6673,11673,10693,9606,2322,10235,7956,2571,10818,2351,906,13247,2826,3479,7119,8091,12887,1416,4371,11276,5410,3480,2141,8822,10860,7803,3730,8678,9593,3186,13555,478,4441,5468,9248,5648,4661,9539,2933,6314,8896,12697,12822,3910,4396,9217,2582
510,2745,6965,5811,9065,7350,4760,6339,6827,9877,5964,9813,8013,321,12872,5001,3375,5078,13063,7262,9804,11930,1798,8372,9981,6636,12672,10020,12137,6863,1312,13104,10561,7576,10611,6731,9451,11414,2934,6836,2765,11395,3066,9995,11085,8754,2787,12538,11317,960
12539,10865,8684,7422,11710,7593,93,696,11912,5314,576,8959,4667,3370,8502,4594,10354,5117,5100,11914,1805,11683,12582,12883,12086,8805,2030,2370,1207,4185,368,7133,12487,9290,9108,13332,2639,12404,7912,13211,549,9837,2317,9062,6516,7519,2422,11419,8988,7435
3131,8358,5524,2994,4690,4315,8679,1701,5998,5453,8574,7303,1001,3725,2732,1567,4014,4533,5676,4907,6494,4454,252,644,2694,5207,5652,88,6082,1772,12302,2030,316,7792,8395,12866,5725,3800,13362,9896,7308,6222,6603,933,4231,5965,10138,1093,7678,3575
