run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
0,"([0, 2, 3], 0.8790896159317212)","([0, 1, 3, 4, 8], 0.6301564722617354)",0.18349928876244664
1,"([0, 2, 3], 0.8821022727272727)","([0, 1, 3, 4, 8], 0.6051136363636364)",0.12926136363636365
2,"([0, 2, 3], 0.9034090909090909)","([0, 1, 3, 4, 6, 8], 0.6463068181818182)",0.16335227272727273
3,"([0, 2, 3], 0.9075391180654339)","([0, 1, 3, 4, 6, 8], 0.6330014224751067)",0.17496443812233287
4,"([0, 2, 3], 0.890625)","([0, 1, 3, 4, 6, 8], 0.6107954545454546)",0.1534090909090909
5,"([0, 2, 3], 0.8904694167852063)","([0, 1, 3, 4, 6, 8], 0.6031294452347084)",0.155049786628734
6,"([0, 2, 3], 0.8961593172119487)","([0, 1, 3, 4, 6, 8], 0.5874822190611664)",0.15362731152204837
7,"([0, 2, 3], 0.8934659090909091)","([0, 1, 3, 4, 6, 8], 0.6235795454545454)",0.18323863636363635
8,"([0, 2, 3], 0.9004267425320057)","([0, 1, 3, 4, 6, 8], 0.6458036984352774)",0.17496443812233287
9,"([0, 2, 3], 0.8835227272727273)","([0, 1, 3, 4, 6, 8], 0.5965909090909091)",0.15767045454545456
10,"([0, 2, 3], 0.9048295454545454)","([0, 1, 3, 4, 6, 8], 0.6321022727272727)",0.17755681818181818
11,"([0, 2, 3], 0.8735795454545454)","([0, 1, 3, 4, 6, 8], 0.6051136363636364)",0.17755681818181818
12,"([0, 2, 3], 0.8862019914651493)","([0, 1, 3, 4, 6, 8], 0.65149359886202)",0.16358463726884778
13,"([0, 2, 3], 0.8947368421052632)","([0, 1, 3, 4, 6, 8], 0.6443812233285917)",0.16216216216216217
14,"([0, 2, 3], 0.9005681818181818)","([0, 1, 3, 4, 6, 8], 0.6434659090909091)",0.1846590909090909
15,"([0, 2, 3], 0.8947368421052632)","([0, 1, 3, 4, 6, 8], 0.6500711237553343)",0.17496443812233287
