run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
0,"([2, 3], 0.9666666666666667)","([2, 3], 0.7666666666666667)",0.23333333333333334
1,"([2, 3], 0.9666666666666667)","([2, 3], 0.9333333333333333)",0.3333333333333333
2,"([2, 3], 0.9655172413793104)","([2, 3], 0.6551724137931034)",0.27586206896551724
3,"([2, 3], 0.9310344827586207)","([2, 3], 0.6551724137931034)",0.27586206896551724
4,"([2, 3], 0.9)","([2, 3], 0.8666666666666667)",0.2
5,"([2, 3], 0.9333333333333333)","([2, 3], 0.6666666666666666)",0.3
6,"([2, 3], 1.0)","([2, 3], 0.7931034482758621)",0.2413793103448276
7,"([2, 3], 1.0)","([2, 3], 0.9666666666666667)",0.26666666666666666
8,"([3], 0.9655172413793104)","([2, 3], 0.7586206896551724)",0.27586206896551724
9,"([2, 3], 0.9666666666666667)","([2, 3], 0.9666666666666667)",0.3
10,"([2, 3], 0.9)","([2, 3], 0.9333333333333333)",0.3
11,"([2, 3], 0.9310344827586207)","([2, 3], 0.8620689655172413)",0.27586206896551724
12,"([2], 0.8666666666666667)","([2, 3], 0.4666666666666667)",0.2
13,"([3], 0.9)","([2, 3], 0.8666666666666667)",0.26666666666666666
14,"([2, 3], 0.9666666666666667)","([2, 3], 0.8)",0.26666666666666666
15,"([2, 3], 0.9333333333333333)","([2, 3], 0.9)",0.23333333333333334
16,"([2, 3], 1.0)","([2, 3], 0.8)",0.26666666666666666
17,"([2, 3], 0.9655172413793104)","([2, 3], 0.8275862068965517)",0.2413793103448276
18,"([2, 3], 0.9655172413793104)","([2, 3], 0.896551724137931)",0.3103448275862069
19,"([2], 0.8333333333333334)","([2, 3], 0.6666666666666666)",0.26666666666666666
20,"([2, 3], 0.9666666666666667)","([2, 3], 0.6333333333333333)",0.26666666666666666
21,"([2, 3], 0.9666666666666667)","([2, 3], 0.8666666666666667)",0.3333333333333333
22,"([2, 3], 0.9655172413793104)","([2, 3], 0.9310344827586207)",0.27586206896551724
23,"([2, 3], 0.9333333333333333)","([2, 3], 0.9)",0.3
24,"([2, 3], 0.9333333333333333)","([2, 3], 0.8)",0.3333333333333333
25,"([2, 3], 1.0)","([2, 3], 0.8620689655172413)",0.3103448275862069
26,"([2, 3], 0.9666666666666667)","([2, 3], 0.8333333333333334)",0.26666666666666666
27,"([1, 3], 0.9)","([2, 3], 0.7)",0.26666666666666666
28,"([2], 0.9)","([2, 3], 0.7666666666666667)",0.23333333333333334
29,"([2, 3], 0.9)","([2, 3], 0.7333333333333333)",0.3
30,"([2, 3], 0.9333333333333333)","([2, 3], 0.8333333333333334)",0.23333333333333334
31,"([2, 3], 0.9333333333333333)","([2, 3], 1.0)",0.23333333333333334
32,"([2, 3], 0.9666666666666667)","([2], 0.5333333333333333)",0.23333333333333334
33,"([2], 0.9333333333333333)","([2, 3], 0.8333333333333334)",0.3333333333333333
34,"([2, 3], 1.0)","([2, 3], 0.6206896551724138)",0.27586206896551724
35,"([2, 3], 0.9666666666666667)","([2, 3], 0.9333333333333333)",0.23333333333333334
36,"([2], 0.8666666666666667)","([2, 3], 0.8)",0.26666666666666666
37,"([2, 3], 0.9666666666666667)","([2, 3], 0.8)",0.26666666666666666
38,"([2, 3], 0.9666666666666667)","([2, 3], 0.6666666666666666)",0.3
39,"([2, 3], 0.9310344827586207)","([2, 3], 0.6551724137931034)",0.2413793103448276
40,"([2, 3], 0.9666666666666667)","([2, 3], 0.9666666666666667)",0.3333333333333333
41,"([2, 3], 1.0)","([2, 3], 0.9)",0.16666666666666666
42,"([2], 0.9655172413793104)","([2, 3], 0.7931034482758621)",0.27586206896551724
43,"([2, 3], 1.0)","([2], 0.5333333333333333)",0.23333333333333334
44,"([2], 0.9666666666666667)","([2, 3], 0.8)",0.13333333333333333
45,"([2, 3], 0.9666666666666667)","([2, 3], 0.9)",0.2
46,"([3], 0.9333333333333333)","([2, 3], 0.9333333333333333)",0.3333333333333333
47,"([2, 3], 0.9333333333333333)","([2, 3], 0.8333333333333334)",0.23333333333333334
48,"([2], 0.896551724137931)","([2, 3], 0.6551724137931034)",0.2413793103448276
49,"([2, 3], 0.9310344827586207)","([2, 3], 0.7241379310344828)",0.27586206896551724
