run_id,LNClassifier,RandomForestClassifier,XGBoostClassifier,baseline error
0,"([np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(2), np.int64(3)], 0.9666666666666667)",0.23333333333333334
1,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(2), np.int64(3)], 0.9666666666666667)",0.3333333333333333
2,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9310344827586207)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9655172413793104)","([np.int64(2), np.int64(3)], 0.9655172413793104)",0.27586206896551724
3,"([np.int64(2), np.int64(3)], 0.9310344827586207)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9310344827586207)","([np.int64(2), np.int64(3)], 0.9655172413793104)",0.27586206896551724
4,"([np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9)","([np.int64(2), np.int64(3)], 0.9)",0.2
5,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(2), np.int64(3)], 0.8666666666666667)",0.3
6,"([np.int64(2), np.int64(3)], 0.9655172413793104)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9655172413793104)","([np.int64(2), np.int64(3)], 0.9655172413793104)",0.2413793103448276
7,"([np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(2), np.int64(3)], 0.9666666666666667)",0.26666666666666666
8,"([np.int64(2), np.int64(3)], 0.896551724137931)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9655172413793104)","([np.int64(2), np.int64(3)], 1.0)",0.27586206896551724
9,"([np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(2), np.int64(3)], 0.9666666666666667)",0.3
10,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(2), np.int64(3)], 0.9333333333333333)",0.3
11,"([np.int64(2), np.int64(3)], 0.9655172413793104)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9310344827586207)","([np.int64(1), np.int64(2), np.int64(3)], 0.9310344827586207)",0.27586206896551724
12,"([np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9)","([np.int64(2), np.int64(3)], 0.9333333333333333)",0.2
13,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9)","([np.int64(2), np.int64(3)], 0.9)",0.26666666666666666
14,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(2), np.int64(3)], 1.0)",0.26666666666666666
15,"([np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.8666666666666667)","([np.int64(2), np.int64(3)], 0.9)",0.23333333333333334
16,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 1.0)","([np.int64(2), np.int64(3)], 0.9666666666666667)",0.26666666666666666
17,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9655172413793104)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9310344827586207)","([np.int64(2), np.int64(3)], 0.9310344827586207)",0.2413793103448276
18,"([np.int64(0), np.int64(2), np.int64(3)], 0.896551724137931)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9655172413793104)","([np.int64(2), np.int64(3)], 0.9655172413793104)",0.3103448275862069
19,"([np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(2), np.int64(3)], 0.8666666666666667)",0.26666666666666666
20,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(2), np.int64(3)], 0.9)",0.26666666666666666
21,"([np.int64(2), np.int64(3)], 0.9)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(2), np.int64(3)], 0.9666666666666667)",0.3333333333333333
22,"([np.int64(2), np.int64(3)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9655172413793104)","([np.int64(2), np.int64(3)], 0.9310344827586207)",0.27586206896551724
23,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(2), np.int64(3)], 0.9333333333333333)",0.3
24,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(2), np.int64(3)], 0.8666666666666667)",0.3333333333333333
25,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9655172413793104)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9655172413793104)","([np.int64(2), np.int64(3)], 0.9655172413793104)",0.3103448275862069
26,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9666666666666667)","([np.int64(2), np.int64(3)], 0.9666666666666667)",0.26666666666666666
27,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(2), np.int64(3)], 0.9666666666666667)",0.26666666666666666
28,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.8666666666666667)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.9333333333333333)","([np.int64(2), np.int64(3)], 0.9)",0.23333333333333334
