run_id,baseline error,LogisticRegressionCV
0,0.23333333333333334,"(array([0, 1, 2, 3]), 0.9666666666666667)"
1,0.3333333333333333,"(array([0, 1, 2, 3]), 0.9666666666666667)"
2,0.27586206896551724,"(array([0, 1, 2, 3]), 1.0)"
3,0.27586206896551724,"(array([0, 1, 2, 3]), 0.9655172413793104)"
4,0.2,"(array([1, 2, 3]), 0.9333333333333333)"
5,0.3,"(array([1, 2, 3]), 0.9333333333333333)"
6,0.2413793103448276,"(array([0, 1, 2, 3]), 1.0)"
7,0.26666666666666666,"(array([0, 1, 2, 3]), 1.0)"
8,0.27586206896551724,"(array([0, 1, 2, 3]), 0.9655172413793104)"
9,0.3,"(array([0, 1, 2, 3]), 0.9666666666666667)"
10,0.3,"(array([0, 1, 2, 3]), 1.0)"
11,0.27586206896551724,"(array([0, 1, 2, 3]), 0.9310344827586207)"
12,0.2,"(array([0, 1, 2, 3]), 0.8666666666666667)"
13,0.26666666666666666,"(array([1, 2, 3]), 0.8666666666666667)"
14,0.26666666666666666,"(array([0, 1, 2, 3]), 0.9666666666666667)"
15,0.23333333333333334,"(array([0, 1, 2, 3]), 1.0)"
16,0.26666666666666666,"(array([0, 1, 2, 3]), 1.0)"
17,0.2413793103448276,"(array([0, 1, 2, 3]), 0.9655172413793104)"
18,0.3103448275862069,"(array([0, 1, 2, 3]), 1.0)"
19,0.26666666666666666,"(array([0, 1, 2, 3]), 0.9666666666666667)"
20,0.26666666666666666,"(array([0, 1, 2, 3]), 0.9666666666666667)"
21,0.3333333333333333,"(array([0, 1, 2, 3]), 1.0)"
22,0.27586206896551724,"(array([0, 1, 2, 3]), 0.9655172413793104)"
23,0.3,"(array([0, 1, 2, 3]), 0.9333333333333333)"
24,0.3333333333333333,"(array([0, 1, 2, 3]), 0.9333333333333333)"
25,0.3103448275862069,"(array([0, 1, 2, 3]), 0.9655172413793104)"
26,0.26666666666666666,"(array([0, 1, 2, 3]), 1.0)"
27,0.26666666666666666,"(array([1, 2, 3]), 0.9333333333333333)"
28,0.23333333333333334,"(array([0, 1, 2, 3]), 0.9666666666666667)"
29,0.3,"(array([0, 1, 2, 3]), 0.8666666666666667)"
30,0.23333333333333334,"(array([0, 1, 2, 3]), 0.9666666666666667)"
31,0.23333333333333334,"(array([1, 2, 3]), 0.9)"
32,0.23333333333333334,"(array([0, 1, 2, 3]), 1.0)"
33,0.3333333333333333,"(array([1, 2, 3]), 0.9)"
34,0.27586206896551724,"(array([0, 1, 2, 3]), 1.0)"
35,0.23333333333333334,"(array([1, 2, 3]), 1.0)"
36,0.26666666666666666,"(array([0, 1, 2, 3]), 1.0)"
37,0.26666666666666666,"(array([0, 1, 2, 3]), 0.9333333333333333)"
38,0.3,"(array([0, 1, 2, 3]), 1.0)"
39,0.2413793103448276,"(array([0, 1, 2, 3]), 0.9310344827586207)"
40,0.3333333333333333,"(array([0, 1, 2, 3]), 0.9666666666666667)"
41,0.16666666666666666,"(array([0, 1, 2, 3]), 0.9666666666666667)"
42,0.27586206896551724,"(array([0, 1, 2, 3]), 0.9655172413793104)"
43,0.23333333333333334,"(array([0, 1, 2, 3]), 1.0)"
44,0.13333333333333333,"(array([1, 2, 3]), 0.9333333333333333)"
45,0.2,"(array([1, 2, 3]), 0.9333333333333333)"
46,0.3333333333333333,"(array([1, 2, 3]), 0.9333333333333333)"
47,0.23333333333333334,"(array([0, 1, 2, 3]), 0.9666666666666667)"
48,0.2413793103448276,"(array([0, 1, 2, 3]), 0.896551724137931)"
49,0.27586206896551724,"(array([0, 1, 2, 3]), 1.0)"
