run_id,LNClassifier,RandomForestClassifier,XGBoostClassifier,baseline error
0,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9166666666666666)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(5), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)",0.3055555555555556
1,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9444444444444444)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(8), np.int64(9), np.int64(11), np.int64(12)], 0.9722222222222222)",0.5
2,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(1), np.int64(3), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)",0.3333333333333333
3,"([np.int64(0), np.int64(2), np.int64(3), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9714285714285714)","([np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(6), np.int64(9), np.int64(12)], 0.9428571428571428)",0.4857142857142857
4,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9714285714285714)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9714285714285714)","([np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9428571428571428)",0.4
5,"([np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)",0.4444444444444444
6,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)",0.4722222222222222
7,"([np.int64(0), np.int64(2), np.int64(3), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(2), np.int64(4), np.int64(6), np.int64(9), np.int64(12)], 1.0)",0.3888888888888889
8,"([np.int64(0), np.int64(2), np.int64(3), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9722222222222222)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(0), np.int64(1), np.int64(4), np.int64(5), np.int64(6), np.int64(9), np.int64(12)], 0.9722222222222222)",0.3333333333333333
9,"([np.int64(0), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(12)], 0.9428571428571428)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 1.0)","([np.int64(5), np.int64(6), np.int64(9), np.int64(10), np.int64(11), np.int64(12)], 0.9142857142857143)",0.45714285714285713
