run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
0,"([23, 74, 75, 85, 93, 99, 104, 119, 147, 151, 165, 196, 228, 248], 0.8416129032258064)","([21, 23, 26, 27, 37, 55, 58, 59, 71, 74, 75, 76, 84, 85, 90, 91, 92, 93, 98, 99, 100, 101, 104, 119, 120, 126, 135, 146, 151, 163, 165, 166, 167, 182, 184, 195, 196, 197, 200, 203, 204, 209, 211, 212, 213, 218, 226, 228, 229, 233], 0.8187096774193549)",0.1693548387096774
1,"([23, 27, 74, 76, 101, 104, 113, 115, 135, 166, 180, 212, 228, 248], 0.8358064516129032)","([21, 23, 27, 28, 37, 55, 58, 71, 74, 75, 76, 84, 85, 90, 91, 92, 93, 98, 99, 100, 103, 104, 114, 115, 119, 120, 135, 153, 162, 163, 164, 165, 166, 167, 168, 169, 173, 177, 179, 180, 181, 184, 188, 189, 193, 196, 204, 211, 213, 218, 219, 229, 230, 234], 0.8296774193548387)",0.16903225806451613
2,"([23, 74, 75, 85, 93, 99, 104, 135, 147, 165, 167, 197, 228, 248], 0.8351612903225807)","([21, 23, 27, 28, 37, 55, 58, 59, 71, 74, 75, 76, 84, 85, 90, 91, 92, 93, 98, 99, 100, 101, 103, 104, 119, 120, 135, 151, 153, 162, 163, 164, 166, 167, 177, 179, 180, 181, 183, 184, 193, 196, 203, 212, 213, 218, 219, 226, 229, 230, 233, 234], 0.8248387096774193)",0.16709677419354838
3,"([9, 23, 28, 74, 76, 100, 104, 135, 147, 165, 168, 211, 230, 233], 0.8318812520167796)","([21, 23, 27, 28, 37, 55, 58, 59, 71, 74, 75, 76, 84, 85, 90, 91, 92, 93, 98, 99, 100, 101, 103, 104, 119, 120, 135, 152, 153, 162, 163, 164, 165, 166, 167, 168, 169, 173, 174, 177, 179, 180, 181, 184, 188, 189, 193, 194, 195, 196, 203, 211, 212, 219, 226, 229, 230, 232, 233, 234], 0.8092933204259438)",0.15682478218780252
4,"([23, 28, 74, 76, 85, 99, 104, 130, 135, 165, 167, 196, 228, 248], 0.8354838709677419)","([22, 27, 28, 39, 40, 55, 59, 74, 75, 76, 84, 85, 92, 93, 98, 99, 100, 101, 104, 119, 120, 121, 137, 151, 162, 163, 164, 165, 167, 177, 179, 180, 181, 184, 193, 196, 203, 204, 212, 213, 218, 219, 226, 229, 231, 233, 234], 0.8193548387096774)",0.16612903225806452
5,"([23, 28, 74, 76, 85, 99, 104, 135, 148, 166, 197, 228, 248], 0.8367741935483871)","([21, 23, 26, 55, 58, 59, 71, 74, 75, 76, 84, 85, 90, 91, 92, 93, 99, 100, 104, 113, 114, 115, 116, 119, 120, 135, 151, 163, 165, 166, 167, 178, 180, 184, 195, 196, 197, 200, 203, 204, 209, 212, 213, 218, 219, 228, 229, 232, 247, 248], 0.8138709677419355)",0.1706451612903226
6,"([23, 27, 74, 75, 77, 85, 99, 104, 135, 166, 196, 228, 248], 0.8309677419354838)","([21, 23, 26, 27, 37, 55, 58, 59, 71, 74, 75, 76, 83, 84, 85, 90, 91, 92, 93, 98, 99, 100, 101, 104, 119, 120, 126, 135, 146, 151, 163, 165, 166, 167, 178, 180, 182, 184, 195, 196, 197, 200, 203, 204, 212, 213, 218, 219, 228, 229, 247, 248], 0.8109677419354838)",0.17290322580645162
7,"([23, 74, 75, 77, 85, 98, 100, 104, 135, 147, 167, 180, 197, 228, 248], 0.8360761535979349)","([21, 23, 27, 28, 55, 58, 59, 71, 74, 75, 76, 84, 85, 90, 91, 92, 93, 98, 99, 100, 101, 104, 119, 120, 135, 151, 153, 162, 163, 164, 166, 167, 177, 179, 180, 181, 184, 193, 196, 204, 212, 213, 218, 219, 226, 229, 233, 234], 0.8212326556953856)",0.17424975798644723
8,"([23, 74, 76, 85, 99, 104, 135, 164, 167, 196, 228, 248], 0.8203225806451613)","([7, 21, 23, 26, 27, 37, 55, 58, 59, 71, 74, 75, 76, 84, 85, 90, 91, 92, 93, 98, 99, 100, 101, 104, 119, 120, 126, 135, 146, 151, 163, 165, 166, 167, 180, 182, 184, 195, 196, 197, 200, 203, 204, 209, 212, 213, 215, 218, 219, 226, 228, 229, 232, 233], 0.8158064516129032)",0.16
9,"([23, 28, 74, 75, 85, 93, 98, 100, 104, 135, 147, 165, 168, 197, 228, 248], 0.8409164246531139)","([21, 23, 27, 28, 55, 58, 59, 71, 74, 75, 76, 84, 85, 90, 91, 92, 93, 98, 99, 100, 103, 104, 119, 120, 135, 151, 162, 163, 164, 165, 167, 168, 169, 173, 177, 178, 179, 180, 181, 184, 188, 189, 193, 196, 204, 210, 211, 212, 218, 219, 226, 229, 230, 233], 0.8318812520167796)",0.16134236850596967
