run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
0,"([4, 8, 13, 19, 21, 30, 31, 33], 0.9446529080675422)","([4, 8, 13, 14, 19, 27, 30, 31, 33], 0.9418386491557224)",0.5131332082551595
1,"([4, 8, 13, 19, 30, 31, 33], 0.9380281690140845)","([4, 8, 13, 14, 16, 19, 27, 30, 31, 33], 0.9380281690140845)",0.5474178403755868
2,"([4, 8, 13, 19, 30, 31, 33], 0.9455399061032864)","([4, 8, 13, 19, 30, 31, 33], 0.9408450704225352)",0.5276995305164319
3,"([4, 8, 12, 13, 19, 30, 31, 33], 0.9399624765478424)","([4, 8, 12, 13, 19, 27, 30, 31, 33], 0.9371482176360225)",0.5159474671669794
4,"([4, 8, 13, 19, 21, 30, 31, 33], 0.9305816135084428)","([4, 8, 13, 19, 30, 31, 33], 0.9333958724202627)",0.5318949343339587
5,"([4, 8, 13, 19, 30, 31, 33], 0.939906103286385)","([4, 8, 13, 14, 16, 19, 30, 31, 33], 0.9389671361502347)",0.5154929577464789
6,"([4, 8, 13, 19, 30, 31, 33], 0.9409005628517824)","([4, 8, 13, 14, 16, 19, 30, 31, 33], 0.9399624765478424)",0.5318949343339587
7,"([4, 8, 13, 19, 21, 30, 31, 33], 0.948405253283302)","([4, 8, 13, 14, 19, 21, 30, 31, 33], 0.9446529080675422)",0.5328330206378987
8,"([4, 8, 13, 19, 30, 31, 33], 0.9437148217636022)","([4, 8, 13, 19, 30, 31, 33], 0.9446529080675422)",0.5206378986866792
9,"([4, 8, 13, 19, 30, 31, 33], 0.9371482176360225)","([4, 8, 13, 14, 19, 30, 31, 33], 0.9343339587242027)",0.5384615384615384
10,"([4, 8, 13, 19, 30, 31, 33], 0.9446529080675422)","([4, 8, 13, 14, 19, 21, 30, 31, 33], 0.9427767354596623)",0.5112570356472795
11,"([4, 8, 13, 19, 30, 31, 33], 0.936150234741784)","([4, 8, 13, 14, 19, 30, 31, 33], 0.936150234741784)",0.523943661971831
