0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1334,1389,2249,1146,2061,1593,1795,146,1561,1047,2850,211,2175,1834,197,725,1028,2477,880,1385,394,1958,2564,2311,730,1149,1521,574,2365,463,1411,543,607,432,310,435,1971,2632,2760,3065,2420,1795,1183,901,1180,2177,2943,2673,2041,1834
2667,493,2493,156,2490,49,636,2449,1951,396,316,906,1966,2550,1054,2401,2199,1522,2240,2100,1992,1893,941,1053,2545,1706,3081,2543,2674,1100,322,2373,9,1982,1969,1718,72,550,1659,836,518,2681,2524,189,2851,2561,624,884,1925,2389
2715,2242,2437,2525,3154,1886,815,644,2896,665,337,3188,2672,1026,1086,2463,2616,1617,351,2177,1110,3103,768,1912,1276,1509,290,1918,186,2231,847,2128,2262,1522,294,817,97,136,1727,721,941,2022,1008,2764,1601,193,1849,1104,425,2459
1912,2882,1878,381,1137,2500,301,1663,448,1822,2781,1722,367,2445,1888,996,1432,734,264,1147,1945,1927,1666,1150,3126,1390,2169,2732,1872,2859,2306,563,1467,1086,1370,2793,1204,1089,1464,1224,2595,2211,549,34,591,2321,355,1453,900,367
2370,986,1415,60,2561,1360,66,2384,3035,452,1637,271,96,137,1987,1788,1963,843,525,489,2339,1320,1478,89,1734,539,3156,1037,1736,3019,2392,553,3079,3193,2325,246,2326,1271,1545,135,425,917,461,935,340,3045,2506,522,1187,2440
1141,433,1270,122,227,307,2298,950,3171,46,282,2417,394,2429,2219,921,2121,1921,2768,2048,1749,1034,2210,1826,2521,2839,3091,802,341,1891,1136,2928,2124,2233,1622,670,3033,1158,2406,3127,598,168,1621,1660,493,2896,2651,2226,1474,1432
3147,54,776,2781,1702,2793,881,558,2458,2997,1210,1129,2428,1997,2120,2570,2354,2474,2766,385,234,2248,1059,473,1296,1952,249,1391,421,404,426,2328,1029,131,1275,11,2494,2439,2785,1096,1273,692,1837,545,1514,1991,239,2275,2759,355
5,1989,2078,768,659,2852,2004,1440,2416,1541,2197,2276,2017,922,901,729,1720,2048,2346,1862,1791,2878,1518,73,2112,700,2175,3081,1859,2837,1612,1764,1482,1462,3063,769,1054,2724,369,2336,2999,2274,828,2730,2709,50,489,1047,791,1595
530,2102,1193,1585,679,1316,1557,635,2975,533,729,1714,1483,3043,227,2513,1497,1822,1400,771,2720,1728,1472,1747,3035,880,1841,1722,1801,1083,2670,3157,1477,1479,121,2389,2344,1117,550,541,815,1571,2364,377,164,1257,1744,2790,2171,1699
1005,538,1354,2682,2697,2238,2561,2501,1977,68,2475,955,2657,955,1873,2,1242,2995,2444,2339,2340,1618,2906,2945,3103,393,2824,788,2753,1417,2493,923,1382,2008,3071,373,3153,2405,1955,2758,380,426,2437,1383,2743,668,2149,1700,1655,2207
