run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
0,"([4, 5, 6, 7, 15, 19, 20, 21, 23, 24, 36, 41, 44, 51, 52, 56], 0.8782608695652174)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8956521739130435)",0.6184782608695653
1,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 44, 51, 52, 56], 0.9021739130434783)","([2, 4, 5, 6, 7, 8, 9, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.8695652173913043)",0.591304347826087
2,"([4, 5, 6, 7, 15, 16, 19, 20, 21, 22, 23, 24, 41, 44, 51, 52, 56], 0.8858695652173914)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8869565217391304)",0.6119565217391304
3,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 41, 44, 45, 51, 52, 56], 0.9107725788900979)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 56], 0.8911860718171926)",0.6387377584330794
4,"([4, 6, 7, 15, 19, 20, 21, 24, 44, 51, 52, 56], 0.907608695652174)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8934782608695652)",0.6054347826086957
5,"([4, 6, 7, 15, 20, 21, 23, 24, 26, 41, 44, 45, 51, 52, 56], 0.9010869565217391)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.883695652173913)",0.6032608695652174
6,"([4, 6, 7, 15, 20, 24, 44, 51, 52, 56], 0.9119565217391304)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.8880434782608696)",0.6021739130434782
7,"([4, 6, 7, 15, 19, 20, 21, 24, 41, 44, 45, 51, 52, 56], 0.9043478260869565)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.8760869565217392)",0.6152173913043478
8,"([4, 6, 7, 15, 16, 19, 20, 21, 23, 24, 26, 41, 44, 51, 52, 56], 0.8978260869565218)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.8673913043478261)",0.6010869565217392
9,"([4, 6, 7, 15, 20, 21, 23, 24, 44, 51, 52, 56], 0.8759521218715995)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.8476605005440696)",0.602829162132753
10,"([4, 5, 6, 7, 15, 16, 19, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.8869565217391304)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8684782608695653)",0.6097826086956522
11,"([4, 5, 6, 7, 15, 17, 18, 19, 20, 21, 22, 23, 24, 26, 41, 44, 45, 51, 52, 56], 0.883695652173913)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.8706521739130435)",0.5880434782608696
12,"([4, 5, 6, 7, 15, 19, 20, 21, 22, 23, 24, 26, 41, 44, 45, 51, 52, 56], 0.8978260869565218)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.9043478260869565)",0.6228260869565218
13,"([4, 6, 7, 15, 20, 21, 22, 23, 24, 51, 52, 56], 0.8835690968443961)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8770402611534276)",0.5908596300326442
14,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 44, 51, 52, 56], 0.9032608695652173)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.8782608695652174)",0.6076086956521739
15,"([4, 6, 7, 15, 16, 19, 20, 21, 23, 24, 41, 44, 45, 51, 52, 55, 56], 0.8902173913043478)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 41, 44, 45, 51, 52, 55, 56], 0.8554347826086957)",0.5989130434782609
16,"([4, 6, 7, 15, 16, 19, 20, 21, 22, 23, 24, 26, 41, 44, 51, 52, 56], 0.8869565217391304)","([2, 4, 5, 6, 7, 8, 10, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 56], 0.8521739130434782)",0.591304347826087
17,"([4, 5, 6, 7, 15, 19, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.8978260869565218)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8891304347826087)",0.6086956521739131
18,"([4, 6, 7, 15, 16, 19, 20, 21, 23, 24, 41, 44, 45, 51, 52, 56], 0.907608695652174)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8934782608695652)",0.6173913043478261
19,"([4, 5, 6, 7, 15, 16, 17, 19, 20, 21, 22, 23, 24, 26, 41, 44, 45, 51, 52, 56], 0.8998911860718172)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.8748639825897715)",0.6180631120783461
20,"([4, 5, 6, 7, 15, 19, 20, 21, 24, 44, 51, 52, 56], 0.8967391304347826)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8913043478260869)",0.6043478260869565
21,"([4, 6, 7, 15, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.9031556039173014)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8770402611534276)",0.5908596300326442
22,"([4, 6, 7, 15, 16, 19, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.8911860718171926)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.8607181719260065)",0.6050054406964092
23,"([4, 6, 7, 15, 20, 21, 24, 44, 51, 52, 56], 0.8902173913043478)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8913043478260869)",0.6086956521739131
24,"([4, 6, 7, 15, 16, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.8847826086956522)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.8608695652173913)",0.6097826086956522
25,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 41, 44, 45, 51, 52, 56], 0.8902173913043478)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 56], 0.8630434782608696)",0.5793478260869566
26,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.9043478260869565)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.8891304347826087)",0.5880434782608696
27,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.9)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.8728260869565218)",0.5902173913043478
28,"([4, 6, 7, 15, 19, 20, 24, 44, 51, 52, 56], 0.8826086956521739)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.8619565217391304)",0.591304347826087
29,"([4, 6, 7, 15, 20, 21, 23, 24, 26, 41, 44, 51, 52, 56], 0.8902173913043478)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8880434782608696)",0.6130434782608696
30,"([4, 6, 7, 15, 19, 20, 24, 44, 51, 52, 56], 0.8815217391304347)","([2, 4, 5, 6, 7, 8, 10, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8826086956521739)",0.6
31,"([4, 6, 7, 15, 20, 22, 24, 44, 51, 52, 56], 0.8923913043478261)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.883695652173913)",0.5956521739130435
32,"([4, 6, 7, 15, 19, 20, 21, 24, 51, 52, 56], 0.883695652173913)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.8847826086956522)",0.6217391304347826
33,"([4, 6, 7, 15, 16, 19, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.9097826086956522)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.9065217391304348)",0.6217391304347826
34,"([4, 6, 7, 15, 19, 20, 23, 24, 41, 44, 51, 52, 56], 0.8923913043478261)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.883695652173913)",0.5978260869565217
35,"([4, 6, 15, 20, 22, 23, 24, 51, 52, 56], 0.9064200217627857)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8988030467899891)",0.6213275299238302
36,"([4, 6, 7, 15, 20, 22, 23, 24, 41, 44, 51, 52, 56], 0.907608695652174)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8913043478260869)",0.6086956521739131
37,"([4, 5, 6, 7, 15, 16, 19, 20, 22, 23, 24, 26, 41, 44, 51, 52, 56], 0.8782608695652174)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 56], 0.875)",0.5934782608695652
38,"([4, 5, 6, 7, 15, 19, 20, 21, 22, 23, 24, 26, 41, 44, 45, 51, 52, 56], 0.8967391304347826)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8956521739130435)",0.6119565217391304
39,"([4, 6, 7, 15, 19, 20, 21, 24, 41, 44, 45, 51, 52, 56], 0.9010869565217391)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.875)",0.6021739130434782
40,"([4, 6, 7, 15, 19, 20, 21, 24, 44, 51, 52, 56], 0.8857453754080522)","([4, 5, 6, 7, 8, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 41, 44, 45, 51, 52, 56], 0.8759521218715995)",0.6115342763873776
41,"([4, 6, 7, 15, 19, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.8880434782608696)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8739130434782608)",0.5891304347826087
42,"([4, 6, 7, 15, 18, 20, 21, 23, 24, 41, 44, 51, 52, 56], 0.8923913043478261)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.8771739130434782)",0.6043478260869565
43,"([4, 6, 7, 15, 20, 21, 24, 44, 51, 52, 56], 0.8934782608695652)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8858695652173914)",0.5826086956521739
44,"([4, 6, 7, 15, 16, 18, 19, 20, 21, 23, 24, 41, 44, 45, 51, 52, 56], 0.8913043478260869)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.8858695652173914)",0.592391304347826
45,"([4, 6, 7, 15, 20, 21, 23, 24, 44, 45, 51, 52, 56], 0.8815217391304347)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 55, 56], 0.8793478260869565)",0.5989130434782609
46,"([4, 6, 7, 15, 20, 21, 24, 44, 51, 52, 56], 0.8857453754080522)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.8781284004352558)",0.6169749727965179
47,"([4, 5, 6, 7, 15, 16, 19, 20, 21, 22, 23, 24, 41, 44, 45, 51, 52, 55, 56], 0.8902173913043478)","([2, 4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 55, 56], 0.8771739130434782)",0.5978260869565217
48,"([4, 6, 7, 15, 16, 19, 20, 21, 23, 24, 41, 44, 45, 51, 52, 56], 0.9108695652173913)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 36, 41, 44, 45, 51, 52, 56], 0.907608695652174)",0.6315217391304347
49,"([4, 5, 6, 7, 15, 16, 19, 20, 21, 22, 23, 24, 44, 45, 51, 52, 56], 0.8815217391304347)","([4, 5, 6, 7, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 32, 36, 41, 44, 45, 51, 52, 56], 0.8760869565217392)",0.6130434782608696
