run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
0,"([16, 17, 18, 19, 22], 0.8316231343283582)","([2, 4, 5, 6, 7, 8, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 32, 34], 0.804570895522388)",0.23880597014925373
1,"([2, 16, 17, 19, 22, 26], 0.841025641025641)","([0, 2, 4, 5, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32], 0.8065268065268065)",0.23776223776223776
2,"([14, 17, 20, 22, 28, 35], 0.8446828358208955)","([0, 2, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 30, 32, 34], 0.8083022388059702)",0.24207089552238806
3,"([14, 16, 17, 20, 22], 0.8433566433566434)","([2, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 30, 32, 34], 0.8107226107226108)",0.24242424242424243
4,"([15, 16, 17, 18, 22], 0.8218283582089553)","([0, 4, 5, 7, 8, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 26, 27, 28, 29, 32], 0.7938432835820896)",0.22667910447761194
5,"([14, 16, 17, 19, 22], 0.841025641025641)","([2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 32, 34], 0.793006993006993)",0.2386946386946387
6,"([16, 17, 18, 20, 22], 0.828904428904429)","([2, 4, 5, 6, 7, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32, 34], 0.799067599067599)",0.22843822843822845
7,"([14, 16, 17, 19, 22], 0.8484848484848485)","([2, 4, 5, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32, 34], 0.8200466200466201)",0.24242424242424243
8,"([2, 16, 17, 19, 22, 26], 0.8372201492537313)","([2, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 32, 34], 0.7943097014925373)",0.22761194029850745
9,"([16, 17, 19], 0.8228438228438228)","([0, 2, 4, 5, 6, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32], 0.8051282051282052)",0.23263403263403262
10,"([16, 17, 18, 32, 35], 0.8307692307692308)","([0, 4, 5, 7, 8, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 26, 27, 28, 32], 0.8032634032634033)",0.2191142191142191
11,"([2, 8, 17, 22, 26, 28, 31], 0.8526806526806526)","([2, 4, 5, 8, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 32], 0.8046620046620047)",0.2358974358974359
12,"([2, 16, 17, 18, 19, 26], 0.8386946386946387)","([2, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32], 0.8055944055944056)",0.22284382284382284
13,"([14, 16, 17, 19, 23], 0.8475524475524475)","([0, 2, 4, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 29, 32], 0.8074592074592074)",0.2386946386946387
14,"([16, 17, 19, 23, 26], 0.8404850746268657)","([0, 2, 4, 5, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 30, 32, 34], 0.8120335820895522)",0.23740671641791045
15,"([2, 17, 23, 26, 28, 31], 0.8419580419580419)","([2, 4, 5, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32, 34], 0.806993006993007)",0.23076923076923078
16,"([16, 17, 18, 19, 22], 0.8428904428904429)","([2, 4, 5, 7, 8, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32, 34], 0.8079254079254079)",0.23030303030303031
17,"([16, 17, 18, 19, 22], 0.8377622377622378)","([0, 2, 4, 5, 6, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 29, 32], 0.8027972027972028)",0.23403263403263402
18,"([15, 16, 17, 18], 0.820429104477612)","([0, 2, 4, 5, 6, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32, 34], 0.7957089552238806)",0.2294776119402985
19,"([2, 16, 17, 19, 22, 26], 0.8438228438228438)","([2, 4, 5, 6, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32, 34], 0.8009324009324009)",0.22843822843822845
20,"([2, 16, 17, 19, 23, 26], 0.8428904428904429)","([0, 2, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32, 34], 0.8065268065268065)",0.23263403263403262
21,"([15, 16, 17, 19, 22], 0.8247086247086247)","([0, 2, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32], 0.8065268065268065)",0.21678321678321677
22,"([14, 16, 17, 19, 22], 0.8419580419580419)","([0, 2, 4, 5, 7, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 32], 0.8102564102564103)",0.2261072261072261
23,"([2, 17, 22, 26, 28, 31], 0.8317016317016317)","([0, 4, 5, 7, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 27, 28, 29, 32], 0.7962703962703963)",0.23403263403263402
24,"([2, 17, 18, 20, 26, 28, 31], 0.841025641025641)","([0, 2, 4, 5, 7, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 26, 27, 28, 29, 32], 0.7953379953379953)",0.24102564102564103
25,"([16, 17, 18, 23], 0.8433566433566434)","([0, 2, 4, 5, 6, 8, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28], 0.8116550116550116)",0.23776223776223776
26,"([16, 17, 19, 20], 0.8256410256410256)","([0, 2, 4, 5, 6, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28], 0.8)",0.24102564102564103
27,"([16, 17, 19], 0.8153846153846154)","([0, 2, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 34], 0.7944055944055944)",0.22424242424242424
28,"([14, 16, 17, 20, 22], 0.8376865671641791)","([2, 4, 5, 6, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 28, 29, 32, 34], 0.8180970149253731)",0.23227611940298507
29,"([14, 16, 17, 19, 22], 0.8433566433566434)","([2, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 32, 34], 0.793939393939394)",0.22657342657342658
30,"([14, 16, 17, 19, 22], 0.8461538461538461)","([2, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 32, 34], 0.799067599067599)",0.2261072261072261
31,"([15, 16, 17, 23], 0.8493470149253731)","([4, 5, 7, 10, 11, 12, 13, 15, 16, 17, 19, 20, 21, 23, 24, 26, 27, 28, 29, 32], 0.816231343283582)",0.23367537313432835
32,"([16, 17, 18, 19, 22], 0.8321678321678322)","([0, 2, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 26, 28, 32, 34], 0.806060606060606)",0.22564102564102564
