0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
6391,4904,4464,5838,3671,3745,4017,1704,1350,5175,3811,382,4138,3490,2332,5585,2810,3501,3052,741,710,5394,4815,2380,5328,4650,6178,6383,5401,1167,705,2699,3578,3118,4142,2138,3393,1009,2177,3858,3748,4516,5689,2200,2088,3640,6297,931,4401,4295
5092,4728,2654,1307,791,2015,3622,5563,4256,2403,2573,5021,4586,5658,3984,2509,5961,3787,4565,1938,14,3589,3755,5194,4715,5227,5674,1236,2710,4121,1435,516,4934,3798,4570,5854,5771,4765,2999,3588,1055,769,2910,977,3822,3120,4950,2750,4162,2544
3211,271,1012,4370,1338,118,2935,956,4797,2164,4443,5459,6114,3061,2061,6410,3864,3413,1970,3998,6065,3119,5185,1507,3208,873,3315,6228,4923,1115,4987,1559,5051,1620,6177,5163,1403,3152,3857,129,1612,1622,618,4206,5606,1000,605,773,786,2349
2756,257,5514,755,387,2607,5177,5546,6033,6295,1724,170,3526,2342,3514,649,2666,6035,5844,856,2752,4134,5347,5432,5866,4307,3519,6180,2973,3876,668,1815,1730,5551,2522,3833,2943,3247,5625,1048,6403,430,2307,4186,2499,2837,5066,2024,5122,6338
3857,1938,888,5600,176,5100,1144,2551,3112,3406,430,297,6125,5215,5428,6077,4361,4645,2488,5275,6434,2635,2249,757,3030,5111,2849,4842,4905,4911,762,6073,4552,2896,4728,3333,1444,41,4147,4533,6005,4660,335,3632,921,4940,3529,4417,4194,2718
5186,1773,4373,209,603,5533,1907,1433,805,269,1550,2849,3658,3035,6184,6172,1795,227,1900,1907,341,130,5134,525,4271,1961,1474,3175,5165,1421,234,1586,3412,4439,5354,5914,2704,1223,5498,4475,1368,457,6187,5477,4398,980,6028,2795,1992,2867
3094,4766,2556,2274,1296,2293,309,5168,3725,2948,289,883,5098,3769,3581,1669,189,5587,6379,1368,4197,500,3470,5073,2283,2271,143,5399,6062,4919,3532,1733,4876,1880,6296,4333,6180,2523,551,512,3624,2386,42,5689,515,3511,664,5186,4964,601
4704,2104,6063,4876,2528,327,1338,3940,312,906,1505,467,5266,3079,967,6021,3823,154,5908,5691,501,6343,189,4277,6397,4950,1927,5725,6345,2478,5195,1349,4588,2789,867,4505,5413,5472,2674,5279,1668,342,2767,4604,1472,4818,944,4958,1874,4854
1591,231,4584,5485,6220,3844,4113,5357,1437,2835,167,2085,2977,5320,483,1066,2448,125,2132,3488,2086,1667,5076,2589,1958,1861,2930,5948,539,4853,6242,3973,3203,5823,3690,6372,3028,5090,4051,5716,2045,3233,4218,3568,1547,924,3013,3774,263,1920
4927,5522,2964,933,250,2641,1741,5198,4569,1347,6145,4111,3041,6088,5955,1954,787,4399,244,2474,3068,5552,1836,2676,4345,5384,365,1486,5488,2965,3624,1300,4070,4830,4603,1890,2898,1680,4469,4437,3184,5989,4650,1044,4427,4088,1633,1080,1264,63
5795,4448,6434,140,6177,1358,2221,6084,4403,2166,827,1513,3280,2581,2038,739,3384,2869,4249,273,4177,5860,3744,556,4757,4549,5353,2287,6077,3056,376,4947,4077,3011,2841,5899,1546,3332,1518,525,20,3976,6002,106,5688,508,38,435,449,1230
5393,4929,2597,5355,5635,5043,4962,5865,2575,5728,2060,2660,1512,4123,2629,505,2828,6213,5955,2142,1882,11,3809,5163,3034,3594,3334,4998,4215,4934,5683,6018,397,5230,2992,4986,4566,3598,1301,6285,5161,5986,2906,423,2462,892,4798,5080,708,4728
1113,5835,5366,628,2352,2692,2535,4728,3483,3529,514,450,6421,1550,4257,5068,4346,5066,786,6219,6126,3036,5179,1733,2538,6175,4413,5132,1684,4736,4685,868,156,2934,1037,5444,6154,99,878,1522,3285,3204,5639,3122,4293,2739,299,3925,6159,2096
6152,4198,1398,2188,3554,3029,4132,6021,5019,3430,5391,1599,2882,5616,4084,4292,1261,2003,4239,5085,4556,1425,3709,4773,4799,2346,1210,1833,734,1565,3075,5318,5248,2188,4923,1952,618,5946,2813,1682,3725,4315,5540,509,2323,952,4113,1907,4955,2211
1029,4837,4177,4130,1445,1755,2455,2537,3389,5131,4500,2724,6245,5767,1733,6213,25,1090,2293,5848,1569,6149,5815,3396,3150,6431,3367,2926,3454,5220,6029,5042,503,908,5807,2601,1027,5717,6186,571,2303,5223,5497,6019,5016,2487,149,1327,2812,3201
5657,2138,528,5375,745,4019,3220,6236,4452,1042,4645,2350,4286,5863,4434,4850,4049,3935,5854,2124,1634,385,670,2603,3506,1636,3529,2747,4802,3822,417,5366,6399,5774,4135,5368,4502,3774,1401,5697,1780,26,6096,3655,3304,43,304,21,1567,595
4412,5919,466,4715,6148,4832,1878,5673,4839,2169,1432,4469,4760,4918,1159,5611,6124,3500,1154,1389,5063,111,3959,1664,6426,992,5409,3337,3640,669,2810,3066,4578,1058,1520,2744,5801,4573,4276,432,5439,2309,4143,2136,4845,983,5837,4456,727,1824
1968,1248,3579,4122,4139,4495,1759,4496,877,16,3324,5963,2547,1634,5064,4442,1490,4066,5420,4954,3518,1694,3317,4,5517,5076,5813,3456,128,6217,3811,5077,3572,5328,3439,4871,5833,6087,2157,3861,297,5048,217,5668,5349,2997,3558,1769,2765,3944
1686,1473,4993,4620,905,4098,2245,2545,307,6377,1995,2794,3483,4055,2103,4408,2224,2677,5876,602,991,2646,2725,2941,2405,3057,6031,3131,2400,13,6149,2410,2205,3256,1989,2356,24,1195,5554,1551,763,4128,3215,4635,182,4557,6239,2013,4594,1578
53,5610,4668,4115,5444,1688,1779,1848,6114,135,162,5551,3918,5507,1528,3025,1643,861,3474,5924,4492,6042,5059,6244,1844,2440,5487,1755,1310,1619,3586,5982,5913,75,2979,3341,5540,2216,1369,1816,6138,604,1004,2339,3242,2620,3864,1100,233,1544
3849,4041,2666,2572,3129,1763,1429,5498,44,2797,5673,4606,1222,1018,3485,6033,1931,3801,553,5894,2564,6217,3369,5783,6303,1421,1626,938,4247,1692,6147,1162,3740,4441,793,786,5290,3760,646,5164,341,3198,899,3479,1115,5297,2588,611,5064,4951
768,1745,2918,2820,2133,6364,4078,5185,411,6281,2702,925,6036,597,1146,119,879,534,667,1531,5619,3226,4797,1266,4743,975,6150,4242,2989,2029,1501,872,4239,2389,1248,5103,4606,5855,3768,472,5035,2436,3046,5322,4280,1455,2591,4179,3455,1657
6310,1758,90,1613,4725,4838,4074,4932,1548,1481,586,1037,3514,543,4167,1599,5366,2331,856,3505,2264,3258,4470,5457,4677,5065,5240,5975,5823,700,5538,3463,6257,6161,4857,5516,4105,6214,610,3648,487,6367,3853,2092,983,6225,4031,5756,5280,1945
5442,1083,626,4515,2588,933,2742,6331,4612,4181,3249,2974,3895,2441,148,2663,4736,1775,5948,5677,613,3074,6068,6065,2317,1874,3745,5667,1606,1518,4519,4571,582,4844,4911,6301,5085,941,1427,641,147,1947,5815,2858,4090,6133,3557,5050,1521,1275
4089,1094,6209,5253,5432,1636,2837,13,3328,4941,3213,4414,2715,2311,1303,4455,4542,2499,4781,1760,371,3994,1554,390,5997,2049,381,3509,1685,2913,2552,1659,2444,2099,1880,2230,3587,6176,2863,3233,822,3504,6395,835,1155,5675,5228,3566,49,5463
3950,4288,3367,2705,1224,1438,5737,2322,47,5236,4234,3068,4195,5773,3064,5577,3575,6365,3857,3482,101,1816,4358,2810,3942,4923,383,5869,3284,440,1300,5564,2934,5011,3023,1176,4670,4870,3168,2401,6376,1996,2430,1710,1400,524,3530,4478,296,297
967,2300,5558,2414,1290,3708,3022,6217,3847,1981,176,2604,3033,398,3357,3144,2099,91,3484,4389,3358,2581,2295,3416,3001,4275,1744,4799,3589,1089,763,2450,3411,4338,4917,5325,60,2128,338,4768,5979,91,5626,3126,2402,5467,3991,2992,3088,3630
2449,5599,4023,2538,5096,604,1798,5087,3671,5028,2829,2224,5500,617,3018,3832,1732,5334,1754,865,3462,4165,2899,6261,2478,850,3877,2764,227,4180,4363,6139,2229,537,4042,5878,1193,5659,4516,3103,5416,5943,6304,4019,6310,2815,853,2554,552,2542
1854,6233,4322,5613,3631,3676,3141,224,2948,156,3985,3862,5403,5454,4898,3534,2754,2786,4056,5771,4244,4935,2795,1346,5712,5274,716,5254,3639,2972,2450,2355,5176,4001,5659,563,4298,1666,1880,5520,2712,7,1969,4175,1716,1193,692,2579,2094,217
5799,786,144,2131,2044,2339,1788,5132,144,319,3341,4800,196,1863,4152,5188,660,5863,3075,1481,4121,1812,5795,1709,5944,2190,5419,5053,6258,128,6060,952,576,1772,1842,2790,6045,1715,5829,5311,3329,2533,1712,1187,2273,2289,4626,6324,3028,6152
58,1826,5917,3876,933,4906,257,6120,2466,5031,640,3716,3295,3084,5093,5332,919,3654,5069,5456,4952,4803,1401,3939,2645,421,1576,5775,3238,5760,3288,2789,4053,5395,3678,5649,715,5984,3601,3723,460,3366,4134,3159,889,5199,800,926,3022,902
2241,1004,1290,3310,3155,3293,152,3379,6161,1549,3913,5450,5913,3858,2761,5755,454,5566,3047,888,688,4237,1014,4994,1443,4709,4587,924,6088,2009,5255,3519,6201,6139,3633,3274,34,4401,232,5249,699,4456,4109,4971,3734,4237,2482,3712,2766,377
3409,3747,4885,3789,1506,5551,5927,1748,5436,4000,1257,1268,6044,6209,6096,2904,4870,87,4479,2436,3799,2490,1687,4788,2497,4770,1686,1081,2097,3465,2835,2786,4116,1993,4564,812,2049,515,3917,2146,6341,1066,4166,6100,2056,6430,6427,6368,3157,5198
1934,6177,460,1599,2916,4384,5755,1208,2923,5178,1961,923,1453,4010,3323,243,4277,918,3591,1407,252,5332,4118,3203,5679,2620,934,6163,1744,1093,1861,6146,6350,2039,2750,1265,1845,5299,1448,6229,1695,1004,5913,2936,5301,3679,2539,5368,5901,3977
