run_id,AnnLassoClassifierl0,AnnLassoClassifierl1,baseline error
0,"([0, 1], 0.819327731092437)","([0, 1], 0.819327731092437)",0.6008403361344538
1,"([0, 1], 0.7605042016806722)","([0, 1], 0.7605042016806722)",0.6218487394957983
2,"([0, 1], 0.7721518987341772)","([0, 1, 2], 0.7721518987341772)",0.5654008438818565
3,"([0, 1, 2], 0.773109243697479)","([0, 1, 2], 0.773109243697479)",0.592436974789916
4,"([0, 1], 0.7689075630252101)","([0, 1], 0.7689075630252101)",0.5672268907563025
5,"([0, 1, 2], 0.7552742616033755)","([0, 1, 2], 0.7552742616033755)",0.5738396624472574
6,"([0, 1, 2], 0.7510548523206751)","([0, 1, 2], 0.7510548523206751)",0.5822784810126582
7,"([0, 1], 0.7983193277310925)","([0, 1], 0.7983193277310925)",0.6470588235294118
8,"([0, 1, 2], 0.759493670886076)","([0, 1, 2], 0.759493670886076)",0.5822784810126582
9,"([0, 1], 0.7563025210084033)","([0, 1], 0.7563025210084033)",0.634453781512605
10,"([0, 1], 0.8067226890756303)","([0, 1], 0.8067226890756303)",0.6386554621848739
11,"([0, 1], 0.7468354430379747)","([0, 1], 0.7468354430379747)",0.5527426160337553
12,"([0, 1], 0.8025210084033614)","([0, 1], 0.8025210084033614)",0.6176470588235294
13,"([0, 1], 0.7899159663865546)","([0, 1], 0.7899159663865546)",0.5966386554621849
14,"([0, 1], 0.7647058823529411)","([0, 1], 0.7647058823529411)",0.592436974789916
15,"([0, 1, 2], 0.7890295358649789)","([0, 1, 2], 0.7890295358649789)",0.6118143459915611
16,"([0, 1, 2], 0.7974683544303798)","([0, 1, 2], 0.7974683544303798)",0.620253164556962
17,"([0, 1], 0.7815126050420168)","([0, 1], 0.7815126050420168)",0.5798319327731093
18,"([0, 1], 0.7436974789915967)","([0, 1, 2], 0.7436974789915967)",0.5714285714285714
19,"([0, 1, 2], 0.7773109243697479)","([0, 1], 0.7773109243697479)",0.5840336134453782
20,"([0, 1], 0.7932489451476793)","([0, 1], 0.7932489451476793)",0.5949367088607594
21,"([0, 1], 0.773109243697479)","([0, 1], 0.773109243697479)",0.5588235294117647
22,"([0, 1], 0.7941176470588235)","([0, 1], 0.7941176470588235)",0.6176470588235294
23,"([0, 1, 2], 0.7815126050420168)","([0, 1], 0.7815126050420168)",0.592436974789916
24,"([0, 1], 0.7773109243697479)","([0, 1], 0.7773109243697479)",0.5336134453781513
25,"([0, 1, 2], 0.7563025210084033)","([0, 1], 0.7563025210084033)",0.5840336134453782
26,"([0, 1], 0.759493670886076)","([0, 1], 0.759493670886076)",0.6118143459915611
27,"([0, 1], 0.7848101265822784)","([0, 1], 0.7848101265822784)",0.5527426160337553
28,"([0, 1, 2], 0.759493670886076)","([0, 1, 2], 0.7637130801687764)",0.6118143459915611
29,"([0, 1], 0.7436974789915967)","([0, 1, 2], 0.7436974789915967)",0.5882352941176471
30,"([0, 1, 2], 0.819327731092437)","([0, 1, 2], 0.819327731092437)",0.6050420168067226
31,"([0, 1], 0.7805907172995781)","([0, 1], 0.7805907172995781)",0.6118143459915611
32,"([0, 1, 2], 0.773109243697479)","([0, 1], 0.773109243697479)",0.5462184873949579
33,"([0, 1], 0.7721518987341772)","([0, 1], 0.7721518987341772)",0.6244725738396625
34,"([0, 1], 0.7679324894514767)","([0, 1], 0.7679324894514767)",0.6244725738396625
35,"([0, 1], 0.7637130801687764)","([0, 1], 0.7637130801687764)",0.5991561181434599
36,"([0, 1], 0.7805907172995781)","([0, 1], 0.7805907172995781)",0.6033755274261603
37,"([0, 1], 0.8016877637130801)","([0, 1], 0.8016877637130801)",0.6286919831223629
38,"([0, 1, 2], 0.7436974789915967)","([0, 1], 0.7436974789915967)",0.5756302521008403
39,"([0, 1], 0.8270042194092827)","([0, 1], 0.8270042194092827)",0.6075949367088608
40,"([0, 1], 0.7521008403361344)","([0, 1, 2], 0.7521008403361344)",0.5756302521008403
41,"([0, 1], 0.7773109243697479)","([0, 1], 0.7773109243697479)",0.5756302521008403
42,"([0, 1, 2], 0.7815126050420168)","([0, 1], 0.7815126050420168)",0.5840336134453782
43,"([0, 1], 0.7605042016806722)","([0, 1, 6], 0.7605042016806722)",0.6218487394957983
44,"([0, 1, 2], 0.7899159663865546)","([0, 1], 0.7899159663865546)",0.592436974789916
45,"([0, 1, 2], 0.8109243697478992)","([0, 1], 0.8109243697478992)",0.5966386554621849
46,"([0, 1], 0.7478991596638656)","([0, 1], 0.7478991596638656)",0.6218487394957983
47,"([0, 1], 0.7605042016806722)","([0, 1], 0.7605042016806722)",0.5630252100840336
48,"([0, 1], 0.7899159663865546)","([0, 1], 0.7899159663865546)",0.5714285714285714
49,"([0, 1, 2], 0.8067226890756303)","([0, 1, 2, 6], 0.8025210084033614)",0.6050420168067226
