run_id,LNClassifier,RandomForestClassifier,XGBoostClassifier,baseline error
0,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8319327731092437)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8151260504201681)","([np.int64(0), np.int64(1), np.int64(3)], 0.7899159663865546)",0.6008403361344538
1,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8109243697478992)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8109243697478992)","([np.int64(0), np.int64(1), np.int64(3)], 0.7689075630252101)",0.6218487394957983
2,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8059071729957806)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.759493670886076)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.7848101265822784)",0.5654008438818565
3,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8235294117647058)","([np.int64(1), np.int64(5), np.int64(6)], 0.7773109243697479)","([np.int64(0), np.int64(1), np.int64(3)], 0.7815126050420168)",0.592436974789916
4,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7857142857142857)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7689075630252101)","([np.int64(0), np.int64(1), np.int64(3), np.int64(5)], 0.7521008403361344)",0.5672268907563025
5,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7552742616033755)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7552742616033755)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5)], 0.7341772151898734)",0.5738396624472574
6,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7637130801687764)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7637130801687764)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.7721518987341772)",0.5822784810126582
7,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8235294117647058)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8109243697478992)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.7815126050420168)",0.6470588235294118
8,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(6)], 0.7679324894514767)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7974683544303798)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.7805907172995781)",0.5822784810126582
9,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7521008403361344)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7689075630252101)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(6)], 0.7436974789915967)",0.634453781512605
10,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.819327731092437)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7857142857142857)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5)], 0.8025210084033614)",0.6386554621848739
11,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.8270042194092827)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7805907172995781)","([np.int64(0), np.int64(1)], 0.7679324894514767)",0.5527426160337553
12,"([np.int64(0), np.int64(1), np.int64(6)], 0.7184873949579832)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8235294117647058)","([np.int64(0), np.int64(1), np.int64(3)], 0.819327731092437)",0.6176470588235294
13,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7983193277310925)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8109243697478992)","([np.int64(0), np.int64(1), np.int64(3)], 0.7941176470588235)",0.5966386554621849
14,"([np.int64(0), np.int64(1), np.int64(4)], 0.7647058823529411)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7773109243697479)","([np.int64(0), np.int64(1), np.int64(3)], 0.7899159663865546)",0.592436974789916
15,"([np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6)], 0.8312236286919831)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.8016877637130801)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.8185654008438819)",0.6118143459915611
16,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7974683544303798)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7848101265822784)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3)], 0.7468354430379747)",0.620253164556962
17,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5)], 0.7983193277310925)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7899159663865546)","([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5)], 0.7941176470588235)",0.5798319327731093
18,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)], 0.7605042016806722)","([np.int64(1), np.int64(2), np.int64(5), np.int64(6)], 0.7689075630252101)","([np.int64(0), np.int64(1), np.int64(3)], 0.7605042016806722)",0.5714285714285714
