run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([3, 15], np.float64(55.92676065867623))","([15], np.float64(60.14845434647705))","([], np.float64(60.17918866700993))"
2,"([10, 22, 30, 39], np.float64(50.49252000854019))","([39], np.float64(61.0558711436095))","([], np.float64(64.21489299485104))"
3,"([0, 4, 5, 27], np.float64(44.59309182798748))","([27], np.float64(54.083606974333755))","([], np.float64(54.411328913028804))"
4,"([14, 34, 38, 49], np.float64(26.88207200778817))","([49], np.float64(53.235614787512475))","([], np.float64(54.618020033667264))"
5,"([2, 11, 15, 33, 36], np.float64(49.38504641523688))","([], np.float64(57.94323968773448))","([], np.float64(57.93951809239925))"
6,"([17, 41], np.float64(51.61355783158613))","([], np.float64(59.787334297895754))","([], np.float64(59.88398737791774))"
7,"([13, 17, 29, 45], np.float64(47.175846335057386))","([29], np.float64(61.36230015028605))","([], np.float64(62.32311937567948))"
8,"([10, 19, 37, 48], np.float64(53.07141091217863))","([37], np.float64(62.99294937762468))","([], np.float64(62.371829181717516))"
9,"([11, 36, 38, 44], np.float64(26.833727562030884))","([], np.float64(52.421361859443955))","([], np.float64(52.421366674966606))"
10,"([], np.float64(55.56359894509509))","([], np.float64(55.563598961796615))","([], np.float64(55.56359906204386))"
11,"([31, 49], np.float64(49.78980803527455))","([], np.float64(53.24328933581857))","([], np.float64(53.26358878118789))"
12,"([7, 15, 38, 43], np.float64(49.97550590856854))","([], np.float64(59.837018029160255))","([], np.float64(59.837018029160255))"
13,"([8, 10, 31, 41], np.float64(41.28470939827045))","([], np.float64(58.261914167934286))","([], np.float64(58.2619140681024))"
14,"([21, 40], np.float64(49.94130448821205))","([21, 40], np.float64(58.11911046471977))","([], np.float64(59.71119755961894))"
15,"([11, 19, 21, 41], np.float64(50.92218528501997))","([], np.float64(59.227370954225684))","([], np.float64(59.227925562272056))"
16,"([19, 40], np.float64(47.72097461214791))","([], np.float64(54.5587197236941))","([], np.float64(54.558719860730115))"
17,"([8, 18, 26, 27], np.float64(59.91568739195779))","([], np.float64(67.50909723637997))","([], np.float64(67.60997691311455))"
18,"([6, 31, 39, 48], np.float64(37.49350599101209))","([6, 31], np.float64(57.30320927328904))","([], np.float64(62.05547545841304))"
19,"([0, 2, 19, 32], np.float64(40.237469928022925))","([], np.float64(55.37659078638071))","([], np.float64(55.37659355500878))"
20,"([4, 7, 15, 28], np.float64(48.82828101653519))","([4], np.float64(60.68742251681841))","([], np.float64(59.81604605078093))"
21,"([11, 12, 13, 15, 30, 38, 41], np.float64(43.25944817939123))","([13, 15, 30, 41], np.float64(49.03102746106322))","([], np.float64(53.2489711626689))"
22,"([4, 6, 11, 46], np.float64(40.424047644990466))","([], np.float64(54.88498336832146))","([], np.float64(54.9025865012344))"
23,"([0, 6, 31, 42], np.float64(36.46836635180564))","([], np.float64(55.8825069080347))","([], np.float64(55.88251619384412))"
24,"([1, 8, 14, 19, 37], np.float64(42.921066859669075))","([], np.float64(58.17017535406585))","([], np.float64(58.09745682902071))"
25,"([2, 13, 20, 26], np.float64(52.38287171738629))","([], np.float64(62.70771735550347))","([], np.float64(62.86938271966095))"
26,"([25, 38, 47, 48], np.float64(50.12180937385923))","([], np.float64(60.71384917539338))","([], np.float64(60.76501293337562))"
27,"([6, 9, 19, 44], np.float64(25.494264164583086))","([], np.float64(52.639838730008364))","([], np.float64(52.64472404112312))"
28,"([19, 35, 38, 44], np.float64(41.06922113437821))","([], np.float64(55.45802306784761))","([], np.float64(55.45796899936307))"
29,"([8, 14, 38, 41], np.float64(27.4553872974119))","([38], np.float64(55.76254599493363))","([], np.float64(56.70796853937565))"
30,"([20], np.float64(55.32032510832252))","([], np.float64(54.630410179161274))","([], np.float64(54.630412434618854))"
31,"([13, 26, 28, 37], np.float64(40.72052205338549))","([13, 26, 28, 37], np.float64(61.1763944031827))","([], np.float64(65.38552113382163))"
32,"([8, 9, 26, 37], np.float64(36.08384361430719))","([], np.float64(62.3742179062621))","([], np.float64(62.37524540962799))"
33,"([5, 23, 35, 44], np.float64(55.20735327839552))","([], np.float64(57.10638587784815))","([], np.float64(57.13022108236669))"
34,"([2, 11, 21, 24], np.float64(42.50417528330586))","([], np.float64(52.13088493520788))","([], np.float64(52.17426466004203))"
35,"([7, 30, 47, 49], np.float64(45.97491193027201))","([], np.float64(61.247819144588576))","([], np.float64(61.237383921360326))"
36,"([11, 17, 35, 41], np.float64(38.53760006788421))","([], np.float64(53.01258325465678))","([], np.float64(52.999618737950236))"
37,"([1, 15, 19, 24, 37], np.float64(47.70347575593622))","([19, 37], np.float64(52.664129361052694))","([19, 37], np.float64(52.29388549382385))"
38,"([20, 25, 26, 28], np.float64(42.095599146917536))","([20, 25, 26, 28], np.float64(53.942323094033945))","([], np.float64(58.1031681343931))"
39,"([21, 25], np.float64(54.46350794479545))","([], np.float64(60.915693923071665))","([], np.float64(60.88426036689688))"
40,"([26, 29, 33, 35, 44], np.float64(39.40089612374356))","([], np.float64(54.100330592912506))","([], np.float64(54.100330592912506))"
41,"([3, 6, 11, 14], np.float64(52.83866371239796))","([], np.float64(58.76756080932604))","([], np.float64(58.765701523104624))"
42,"([6, 15, 43, 49], np.float64(40.7812842196813))","([], np.float64(55.193954085222984))","([], np.float64(55.19399325342671))"
43,"([24, 30], np.float64(55.19500514981934))","([], np.float64(55.38437038906783))","([], np.float64(55.38437075847609))"
44,"([16, 22, 26, 38, 46], np.float64(33.97157800901147))","([], np.float64(60.44097337010324))","([], np.float64(60.46419851307161))"
45,"([8, 19, 26, 45], np.float64(43.396443487311075))","([], np.float64(61.2686615691767))","([], np.float64(61.26455558718809))"
46,"([0, 10, 15, 16], np.float64(46.12127457994872))","([0], np.float64(58.83507862983004))","([], np.float64(59.74602758786708))"
47,"([1, 13], np.float64(55.43638152108113))","([], np.float64(60.192117763572085))","([], np.float64(60.19212409651951))"
48,"([20, 42], np.float64(58.854512659577885))","([], np.float64(62.291425429344386))","([], np.float64(62.29142348286575))"
49,"([0, 21, 26, 30], np.float64(43.280008512299645))","([], np.float64(55.340903661406024))","([], np.float64(55.31930654292125))"
