run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
0,"([2, 6, 8, 9, 11, 13, 15, 18, 19, 20, 21, 24, 26, 28, 31, 32, 34, 35, 36, 37, 39, 40, 42, 45, 47, 48, 49], np.float64(906267.3819373121))","([7, 9, 10, 13, 48], np.float64(901827.975501882))","([6, 13, 18, 19], np.float64(905343.6250055282))"
1,"([2, 3, 13, 15], np.float64(22.459504354460467))","([2, 3, 13, 15], np.float64(0.05824475042291928))","([2, 3, 13, 15], np.float64(46.84924173758534))"
2,"([10, 22, 30, 39], np.float64(16.924183198274726))","([10, 22, 30, 39], np.float64(21.438478775348255))","([10, 22, 30, 39], np.float64(0.24809788684643475))"
3,"([0, 4, 5, 27], np.float64(22.469193775517255))","([0, 4, 5, 27], np.float64(40.66186648327046))","([0, 4, 5, 27], np.float64(45.381884693466624))"
4,"([14, 34, 38, 49], np.float64(30.966750770956875))","([14, 34, 38, 49], np.float64(27.73494757626864))","([14, 34, 38, 49], np.float64(43.42533531247921))"
5,"([2, 11, 15, 36], np.float64(23.807285428486875))","([2, 11, 15, 36], np.float64(0.05948305193664268))","([2, 11, 15, 36], np.float64(39.338131003087696))"
6,"([5, 17, 41, 44], np.float64(21.277288116148203))","([5, 17, 20, 41, 44], np.float64(41.93257685056134))","([17, 41], np.float64(48.730152826745226))"
7,"([13, 17, 29, 45], np.float64(26.57666917563186))","([13, 17, 29, 45], np.float64(0.06591046515747175))","([29, 45], np.float64(52.67392804986787))"
8,"([10, 19, 37, 48], np.float64(23.190660073792536))","([10, 19, 37, 48], np.float64(0.10889159255088263))","([10, 19, 37, 48], np.float64(0.17603861923997433))"
9,"([11, 36, 38, 44], np.float64(23.92912894623695))","([11, 36, 38, 44], np.float64(0.08954961684929424))","([11, 36, 38, 44], np.float64(0.35568751438813073))"
10,"([27, 29, 41, 42], np.float64(23.75569523822041))","([27, 29, 41, 42], np.float64(23.757535200944467))","([], np.float64(55.56763158118121))"
11,"([19, 31, 46, 49], np.float64(21.513244497991696))","([19, 31, 46, 49], np.float64(0.1063901072891519))","([31, 49], np.float64(45.42697414628994))"
12,"([7, 15, 38, 43], np.float64(33.81052986964114))","([7, 15, 38, 43], np.float64(19.188219980762916))","([], np.float64(59.4622309072529))"
13,"([8, 10, 31, 41], np.float64(22.317654440664146))","([8, 10, 31, 41], np.float64(23.772710718156567))","([8, 10, 31, 41], np.float64(40.21046628261111))"
14,"([16, 21, 40, 42], np.float64(22.93813484687129))","([16, 21, 40, 42], np.float64(22.25290372025283))","([21, 40], np.float64(49.51377193866685))"
15,"([11, 19, 21, 41], np.float64(21.603582857522504))","([11, 19, 21, 41], np.float64(0.026440722599813102))","([11, 21], np.float64(51.61345921262937))"
16,"([4, 9, 19, 40], np.float64(23.658423068445224))","([4, 9, 19, 40], np.float64(38.44157578354564))","([4, 9], np.float64(49.698078666646644))"
17,"([8, 18, 26, 27], np.float64(25.56420234550678))","([8, 18, 26, 27], np.float64(23.43513456128486))","([], np.float64(67.51082548543303))"
18,"([6, 31, 39, 48], np.float64(24.093235365673284))","([6, 31, 39, 48], np.float64(22.09031051038146))","([], np.float64(62.035002692473775))"
19,"([0, 2, 19, 32], np.float64(23.571131360021504))","([0, 2, 19, 32], np.float64(21.562313718726188))","([0, 2, 19, 32], np.float64(41.92801427043231))"
20,"([4, 7, 15, 28], np.float64(25.178932210131222))","([4, 7, 15, 28], np.float64(20.22357350941866))","([4], np.float64(59.27838245776428))"
21,"([13, 15, 30, 41], np.float64(20.473521536804764))","([13, 15, 30, 41], np.float64(36.50649224542662))","([15, 30], np.float64(45.96660591774661))"
22,"([4, 6, 11, 46], np.float64(22.10980692917339))","([4, 6, 11, 46], np.float64(0.12809834822375438))","([4, 6, 11, 46], np.float64(38.18470129361177))"
23,"([0, 6, 31, 42], np.float64(22.830088673601065))","([0, 6, 31, 42], np.float64(19.933011866421072))","([0, 6, 31, 42], np.float64(46.51368400322886))"
24,"([1, 8, 14, 37], np.float64(22.583170896130586))","([1, 14], np.float64(56.46941531688208))","([1], np.float64(57.30502188359566))"
25,"([2, 13, 20, 26], np.float64(24.042007198694762))","([2, 13, 20, 26], np.float64(0.13274252144930035))","([2, 13, 20, 26], np.float64(46.983174359548876))"
26,"([25, 38, 47, 48], np.float64(22.87750376484744))","([25, 38, 47, 48], np.float64(0.20258262486240722))","([25, 38, 47, 48], np.float64(46.13785930614422))"
27,"([6, 9, 19, 44], np.float64(23.139856986231816))","([6, 9, 19, 44], np.float64(31.405209677105425))","([6, 19], np.float64(49.31105447378757))"
28,"([19, 35, 38, 44], np.float64(22.729667147839994))","([19, 35, 38, 44], np.float64(23.946757442796734))","([19, 35, 38, 44], np.float64(32.78177362882905))"
29,"([8, 14, 38, 41], np.float64(23.656613105331417))","([8, 14, 38, 41], np.float64(41.45986269515271))","([8, 14, 38, 41], np.float64(38.42603940597359))"
30,"([20, 21, 34, 35], np.float64(21.94250722459369))","([20, 21, 34, 35], np.float64(45.14302097154251))","([20, 34], np.float64(48.87658694279376))"
31,"([13, 26, 28, 37], np.float64(26.37768651533145))","([13, 26, 28, 37], np.float64(38.09920949559748))","([13, 26, 28, 37], np.float64(48.92545241643638))"
32,"([8, 9, 26, 37], np.float64(31.87815409073979))","([8, 9, 26, 37], np.float64(30.07110415918021))","([8, 9, 26, 37], np.float64(50.756091648445))"
33,"([5, 23, 44, 45], np.float64(23.90541705354194))","([5, 23, 44, 45], np.float64(8.02155312569723))","([], np.float64(57.08786736018939))"
34,"([2, 11, 21, 24], np.float64(20.535042773129792))","([2, 11, 21, 24], np.float64(21.11263694266818))","([2, 11], np.float64(43.69407087107108))"
35,"([7, 30, 47, 49], np.float64(25.257656496285993))","([7, 30, 47, 49], np.float64(22.960350473058927))","([], np.float64(61.260254559178165))"
36,"([11, 17, 35, 41], np.float64(22.247176840522123))","([], np.float64(53.052996793010216))","([11, 17, 35, 41], np.float64(40.46135757345893))"
37,"([4, 15, 24, 44], np.float64(23.14254023472043))","([4, 15, 24, 44], np.float64(28.210450992569125))","([4, 15, 24, 44], np.float64(32.80390223060203))"
38,"([20, 25, 26, 28], np.float64(23.291627496365617))","([20, 25, 26, 28], np.float64(0.35702207454459234))","([20, 28], np.float64(49.384956653576914))"
39,"([5, 21, 25, 43], np.float64(21.460835421740754))","([5, 21, 25, 43], np.float64(0.057191239795629276))","([], np.float64(60.82228903572612))"
40,"([29, 33, 35, 44], np.float64(23.52645366236256))","([29, 33, 35, 44], np.float64(39.78067407650784))","([], np.float64(53.97224690361335))"
41,"([3, 6, 11, 14], np.float64(15.913799211632517))","([6, 11], np.float64(55.773471909238914))","([3, 6, 11, 14], np.float64(46.904374730179775))"
42,"([6, 15, 43, 49], np.float64(22.062899489722163))","([6, 15, 43, 49], np.float64(25.262470199842877))","([], np.float64(55.124946106740104))"
