run_id,"AnnLassoRegressorl0(20,)","AnnLassoRegressorl0(20, 10)","AnnLassoRegressorl0(20, 10, 5)"
1,"([2, 3, 13, 15, 30], np.float64(22.330560670468962))","([2, 3, 13, 15], np.float64(16.729652571415308))","([2, 3, 13, 15], np.float64(41.517994182658406))"
2,"([10, 22, 30, 39], np.float64(16.27560524675221))","([10, 22, 30, 39], np.float64(0.10032488183766212))","([10, 22, 30, 39], np.float64(40.46681666534343))"
3,"([0, 4, 5, 27], np.float64(22.45542157823952))","([0, 4, 5, 27], np.float64(37.645176591574625))","([], np.float64(54.41806538702025))"
4,"([14, 34, 38, 49], np.float64(14.808319349106624))","([14, 34, 38, 49], np.float64(17.0200437447797))","([14, 34, 38, 49], np.float64(31.913446703048084))"
5,"([2, 11, 15, 36], np.float64(24.092998616739568))","([2, 11, 15, 36], np.float64(20.3162271799223))","([2, 11, 15, 36], np.float64(0.38006580613492325))"
6,"([5, 17, 41, 44], np.float64(14.569753746004299))","([5, 17, 41, 44], np.float64(0.019241020666911125))","([5, 17, 41, 44], np.float64(26.094685472735684))"
7,"([13, 17, 29, 45], np.float64(26.433735815322837))","([13, 17, 29, 45], np.float64(31.159455699280333))","([13, 17, 29, 45], np.float64(46.303243915571805))"
8,"([10, 19, 37, 48], np.float64(16.3380040639584))","([10, 19, 37, 48], np.float64(0.03261913764655585))","([10, 19, 37, 48], np.float64(55.83694209567453))"
9,"([11, 36, 38, 44], np.float64(15.651439627541272))","([11, 36, 38, 44], np.float64(0.10027762827461438))","([11, 36, 38, 44], np.float64(30.85927749896838))"
10,"([27, 29, 41, 42], np.float64(22.89308351335475))","([27, 29, 41, 42], np.float64(0.07897000342270523))","([27, 29, 41, 42], np.float64(0.15144869082082116))"
11,"([19, 31, 46, 49], np.float64(14.630469277757772))","([19, 31, 46, 49], np.float64(21.743138914659482))","([31, 49], np.float64(49.294329473053516))"
12,"([7, 15, 38, 43], np.float64(25.800599092930128))","([7, 15, 38, 43], np.float64(42.93006249672186))","([15, 38], np.float64(53.40831941760148))"
13,"([8, 10, 31, 41], np.float64(13.827587094586054))","([8, 10, 31, 41], np.float64(22.747396522695098))","([8, 10, 31, 41], np.float64(39.441727477848126))"
14,"([16, 21, 40, 42], np.float64(22.556907990480312))","([16, 21, 40, 42], np.float64(0.2992797506663952))","([16, 21, 40, 42], np.float64(43.308468132811626))"
15,"([11, 19, 21, 41], np.float64(30.774809905686386))","([11, 19, 21, 41], np.float64(39.78384248789726))","([11, 19, 21, 41], np.float64(39.095850589595834))"
16,"([4, 9, 19, 40], np.float64(22.79138716956656))","([4, 9, 19, 40], np.float64(0.032877939862843035))","([], np.float64(54.596390025642314))"
17,"([8, 18, 26, 27], np.float64(17.383583183509465))","([8, 18, 26, 27], np.float64(0.1225064177484448))","([8, 18, 26, 27], np.float64(0.22810497474440047))"
18,"([6, 31, 39, 48], np.float64(16.580717819207248))","([6, 31, 39, 48], np.float64(41.86510952470246))","([6, 31, 39, 48], np.float64(0.13031472048581677))"
19,"([0, 2, 19, 32], np.float64(23.207244583592))","([0, 2, 19, 32], np.float64(0.1235782218352382))","([0, 2, 19, 32], np.float64(47.03449558524358))"
20,"([4, 7, 15, 17, 28], np.float64(42.55256194060939))","([4, 7, 15, 28], np.float64(15.92760133903826))","([4, 7, 15, 28], np.float64(34.31234834049524))"
21,"([13, 15, 30, 41], np.float64(13.909287511102411))","([13, 15, 30, 41], np.float64(0.11800975758430175))","([13, 15, 30, 41], np.float64(43.89107880679986))"
22,"([4, 6, 11, 46], np.float64(14.876552547092784))","([], np.float64(54.43710153922852))","([4, 6, 11, 46], np.float64(0.26471046984182967))"
23,"([0, 6, 31, 42], np.float64(21.244661511505136))","([0, 6, 31, 42], np.float64(13.906755877171136))","([0, 6, 31, 42], np.float64(45.35140630840474))"
24,"([1, 8, 14, 37], np.float64(22.64466900170245))","([1, 8, 14, 37], np.float64(23.543176122537353))","([1, 8, 14, 37], np.float64(0.4251890590597528))"
25,"([2, 13, 20, 26], np.float64(33.56579507164281))","([2, 13, 20, 26], np.float64(0.23433023698317879))","([2, 13, 20, 26], np.float64(44.10408546860272))"
26,"([25, 38, 47, 48], np.float64(22.727490288682915))","([25, 38, 47, 48], np.float64(0.0618000651443496))","([25, 38, 47, 48], np.float64(34.2872139927445))"
27,"([6, 9, 19, 44], np.float64(15.068191145901215))","([6, 9, 19, 44], np.float64(0.03532334145139815))","([6, 9, 19, 44], np.float64(38.4455733100214))"
28,"([19, 35, 38, 44], np.float64(23.223492806579188))","([19, 35, 38, 44], np.float64(0.02719520880205996))","([19, 35, 38, 44], np.float64(43.70684300221344))"
29,"([8, 14, 38, 41], np.float64(42.41015346480496))","([8, 14, 38, 41], np.float64(28.89046963652213))","([8, 14, 38, 41], np.float64(44.02549457179579))"
30,"([20, 21, 34, 35], np.float64(14.386699898197955))","([20, 21, 34, 35], np.float64(0.03784615249065239))","([21, 35], np.float64(51.2775147571501))"
31,"([13, 26, 28, 37], np.float64(16.6170374482661))","([13, 26, 28, 37], np.float64(21.850756258941004))","([13, 26, 28, 37], np.float64(52.89743370821001))"
32,"([8, 9, 26, 37], np.float64(24.304927880307282))","([8, 9, 26, 37], np.float64(0.2596246234779894))","([8, 9, 26, 37], np.float64(42.271893688477704))"
33,"([5, 23, 44, 45], np.float64(23.429631998206368))","([5, 23, 44, 45], np.float64(0.04293708286680011))","([5, 23, 44, 45], np.float64(34.675934307404766))"
34,"([2, 11, 21, 24], np.float64(13.916631623084298))","([2, 11, 21, 24], np.float64(0.08248716633746395))","([2, 11], np.float64(49.69346084508141))"
35,"([7, 30, 47, 49], np.float64(25.838060428835412))","([7, 30, 47, 49], np.float64(30.420090327922736))","([], np.float64(61.289287706182904))"
36,"([11, 17, 35, 41], np.float64(22.523865789380633))","([11, 17, 35, 41], np.float64(0.051866396460733))","([11, 17, 35, 41], np.float64(31.429228303824928))"
37,"([4, 15, 24, 44], np.float64(22.95571808257074))","([4, 15, 24, 44], np.float64(18.94204449212297))","([4, 15, 24, 44], np.float64(34.07386189168118))"
38,"([20, 25, 26, 28], np.float64(23.548996368148433))","([20, 25, 26, 28], np.float64(18.740035357378968))","([20, 28], np.float64(52.21306436013269))"
39,"([5, 21, 25, 43], np.float64(21.410470241334526))","([5, 21, 25, 43], np.float64(0.11483213596380867))","([5, 21, 25, 43], np.float64(44.79437722376894))"
40,"([29, 33, 35, 44], np.float64(23.503022554903048))","([29, 33, 35, 44], np.float64(0.047077943638801474))","([29, 33, 35, 44], np.float64(38.96757543322969))"
41,"([3, 6, 11, 14], np.float64(13.75267259151826))","([3, 6, 11, 14], np.float64(0.05442378803255048))","([3, 6, 11, 14], np.float64(5.827924730707327))"
42,"([6, 15, 43, 49], np.float64(21.970256548751767))","([6, 15, 43, 49], np.float64(0.07233496276504911))","([], np.float64(55.057531425716924))"
43,"([24, 30, 35, 45], np.float64(23.73790692574307))","([24, 30, 35, 45], np.float64(9.297222260103355))","([], np.float64(55.41124573592572))"
44,"([16, 22, 38, 46], np.float64(45.58349694695899))","([16, 22, 38, 46], np.float64(6.599694507506864))","([16, 22, 38, 46], np.float64(53.15433841102323))"
45,"([8, 19, 26, 45], np.float64(15.759088493820288))","([8, 19, 26, 45], np.float64(20.252997831921626))","([8, 19, 26, 45], np.float64(0.13659385834425009))"
46,"([0, 10, 15, 16], np.float64(24.275219521841812))","([0, 10, 15, 16], np.float64(0.12917272472560323))","([0, 10, 15, 16], np.float64(40.02526321246016))"
47,"([1, 10, 13, 48], np.float64(23.13644211637379))","([1, 10, 13, 48], np.float64(19.465153432390487))","([48], np.float64(57.90706513600067))"
48,"([0, 20, 24, 42], np.float64(21.82312898490498))","([0, 20, 24, 42], np.float64(9.905406360196011))","([0, 24], np.float64(55.45024880764723))"
49,"([0, 21, 26, 30], np.float64(14.324113427633405))","([0, 21, 26, 30], np.float64(0.14842119570372234))","([0, 21, 26, 30], np.float64(26.86083031193832))"
