run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([49, 74, 145, 155, 180, 219], np.float64(1.0663919235799106))","([180], np.float64(55.2883139198374))"
1,"([9, 40, 77, 91, 155, 173], np.float64(1.0955882047792203))","([9, 91, 173], np.float64(47.350334934598166))"
2,"([105, 168, 198, 210, 219, 242], np.float64(1.0069528955362783))","([105, 168, 210, 219], np.float64(48.06120018561375))"
3,"([14, 35, 109, 128, 193, 212], np.float64(1.141811048906392))","([109, 128], np.float64(50.32159700245833))"
4,"([53, 98, 117, 197, 210, 228], np.float64(0.19105132755303317))","([53, 98, 117], np.float64(50.74869677262184))"
5,"([55, 79, 106, 118, 161, 179], np.float64(0.15267262914149035))","([55, 106, 161], np.float64(51.73246060165974))"
6,"([107, 149, 173, 239, 243, 249], np.float64(1.3602748960081645))","([149, 239, 243], np.float64(52.59408458946313))"
7,"([26, 73, 105, 113, 164, 223], np.float64(0.2504587317040221))","([113], np.float64(58.58424287333617))"
8,"([19, 76, 164, 218, 227, 241], np.float64(0.6578704353355522))","([19, 76, 164, 227], np.float64(51.491992513863885))"
9,"([53, 86, 115, 125, 231, 240], np.float64(1.4598414087782223))","([115, 231], np.float64(49.306685130199504))"
10,"([52, 99, 121, 137, 188, 240], np.float64(0.7265875901901032))","([52, 99, 137], np.float64(48.3720403769104))"
11,"([11, 23, 55, 129, 147, 163], np.float64(0.2937507155464861))","([11, 147, 163], np.float64(52.76635467257371))"
12,"([12, 84, 92, 132, 207, 222], np.float64(0.28299829620977734))","([12, 132], np.float64(55.04717154394122))"
13,"([33, 105, 107, 206, 221, 232], np.float64(0.32160372551119415))","([105, 221], np.float64(50.044007849100815))"
14,"([86, 136, 184, 200, 220, 233, 234], np.float64(0.8973573010771974))","([200], np.float64(56.46463703650192))"
15,"([46, 86, 95, 107, 132, 137], np.float64(0.4181536657795439))","([86, 95, 132], np.float64(48.767382268964205))"
16,"([5, 30, 75, 94, 181, 202], np.float64(1.0173868627602678))","([30, 94, 181], np.float64(53.81566879139229))"
17,"([109, 131, 182, 199, 214, 244], np.float64(0.25647980875669146))","([109, 182, 203, 244], np.float64(46.74209191864921))"
18,"([7, 27, 55, 70, 72, 201, 205], np.float64(0.18172846687241698))","([201], np.float64(50.066996903832546))"
19,"([75, 81, 111, 193, 197, 204], np.float64(2.8624142646842143))","([75, 111, 197], np.float64(51.04628416753218))"
20,"([36, 80, 99, 141, 149, 153, 228], np.float64(1.9835545379595245))","([36, 99], np.float64(53.56191024593092))"
21,"([54, 74, 119, 139, 212, 243], np.float64(0.20431941179569935))","([54, 139, 243], np.float64(47.49398932151234))"
22,"([49, 118, 129, 171, 185, 235], np.float64(1.82064782697508))","([118, 235], np.float64(56.123198326032856))"
23,"([15, 75, 79, 105, 129, 198], np.float64(1.0459492762641103))","([75, 198], np.float64(50.08220123536041))"
24,"([24, 30, 77, 81, 126, 244], np.float64(0.29812310820844695))","([77, 126], np.float64(51.16299996425406))"
25,"([15, 84, 89, 193, 199, 202], np.float64(0.5358344883969403))","([84, 202], np.float64(51.356425101963495))"
26,"([13, 109, 169, 194, 216, 240], np.float64(0.29458609682971415))","([169, 240], np.float64(50.51101368040101))"
27,"([43, 57, 85, 124, 140, 233], np.float64(0.4570054728370914))","([85, 140], np.float64(51.41748262481115))"
28,"([10, 23, 92, 108, 109, 148], np.float64(0.721778496987677))","([23, 148], np.float64(55.15107799796936))"
