0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
32,0,43,47,9,19,7,14,41,33,23,43,18,43,29,6,9,31,28,25,8,15,13,33,10,26,45,1,26,25,33,3,49,48,33,13,26,3,7,24,16,37,8,18,22,2,42,28,14,25,30,47,40,17,37,3,41,4,33,6,32,39,36,41,5,2,7,34,40,0,7,32,45,39,31,14,37,8,7,36,16,49,32,9,5,44,38,37,29,43,1,19,22,8,20,14,6,22,18,38
27,2,30,5,19,3,5,2,0,16,16,6,30,14,40,45,41,22,5,42,36,42,44,9,5,33,28,33,24,5,34,49,24,46,30,36,47,8,10,36,42,26,38,37,40,13,6,16,4,5,13,35,22,48,20,36,28,0,47,25,35,15,7,21,1,14,17,22,36,10,5,47,28,28,49,18,41,31,47,11,30,8,21,19,36,20,15,47,22,45,29,2,42,5,13,40,48,29,31,35
31,24,41,17,1,24,24,26,5,17,11,14,43,44,27,41,21,47,1,29,28,8,38,22,17,42,36,6,23,40,6,42,5,43,11,7,5,5,24,26,34,32,20,40,28,10,32,49,16,4,32,25,46,31,26,13,26,1,27,32,20,34,47,27,45,46,14,26,20,11,22,13,6,17,0,34,48,16,13,4,36,12,1,17,2,31,44,1,34,15,15,31,23,24,48,8,4,25,8,36
33,9,16,41,38,42,20,12,3,27,15,11,34,5,21,2,14,10,39,45,2,18,10,10,8,32,42,36,10,9,31,43,46,19,8,45,1,0,32,13,5,40,47,11,46,24,44,34,29,36,16,28,39,1,1,47,35,3,4,46,0,8,30,15,37,44,0,45,44,40,43,20,27,2,13,10,31,38,39,22,31,2,29,31,49,41,30,34,37,2,40,22,2,9,5,38,32,14,20,29
22,14,27,30,11,48,32,29,7,5,0,20,1,23,31,31,45,46,10,1,41,45,45,15,44,2,32,4,37,33,45,23,20,27,2,47,28,48,27,37,8,4,24,34,42,48,23,6,44,43,11,41,41,46,42,6,31,42,39,13,1,9,3,45,15,21,49,3,38,46,21,40,11,46,38,20,1,26,19,39,43,40,30,39,19,15,7,36,48,10,49,12,31,16,0,46,10,10,44,44
24,36,9,16,6,45,45,41,42,29,3,25,45,46,44,18,40,44,6,24,17,44,30,20,46,8,38,45,13,19,13,2,31,16,24,21,22,2,4,15,23,7,45,45,29,4,11,8,15,14,1,36,29,39,22,0,19,23,46,14,40,41,6,47,3,43,15,40,15,43,2,46,0,0,45,49,10,44,38,12,0,14,35,24,0,30,9,3,21,14,47,42,24,44,6,30,21,1,2,46
11,22,25,42,34,10,11,46,21,6,6,18,49,8,32,26,48,36,17,2,13,0,26,38,25,44,24,42,27,36,10,33,30,21,13,10,36,12,33,14,19,1,46,35,12,34,31,44,32,31,5,17,26,38,16,2,38,6,7,16,26,37,2,13,27,7,4,41,4,48,28,39,22,21,26,26,32,27,8,6,48,35,36,6,40,43,3,26,25,12,46,23,37,18,41,43,17,8,19,27
36,35,6,44,7,47,22,13,37,26,19,26,6,1,12,19,49,23,36,48,3,7,24,0,39,10,27,3,39,27,35,11,27,33,31,39,20,16,22,42,47,43,41,30,10,30,43,41,18,28,48,21,6,29,28,23,8,29,44,36,22,46,39,8,48,5,43,29,13,16,42,30,25,11,22,16,6,12,21,17,11,23,9,43,8,24,10,44,9,11,30,29,28,30,10,26,18,2,7,40
10,5,40,7,10,37,44,15,25,11,31,32,24,30,39,37,16,9,20,21,37,41,3,45,32,27,40,9,1,18,9,32,2,6,22,5,0,7,49,10,13,10,18,46,47,15,46,48,35,35,12,11,20,18,49,15,33,15,9,20,16,17,11,25,12,11,48,14,45,25,1,18,1,13,25,40,5,48,1,1,2,43,15,28,42,22,21,25,39,35,21,20,5,2,1,18,38,24,21,16
21,4,49,29,4,16,47,4,2,3,1,9,36,48,16,42,28,35,48,9,19,9,25,14,21,48,1,8,22,34,40,21,40,39,15,30,11,23,2,40,43,18,48,32,15,35,8,21,36,29,7,31,13,36,45,42,4,47,31,12,6,1,44,14,38,6,33,36,0,8,30,22,49,35,16,35,14,5,49,37,13,38,10,25,1,4,5,6,0,48,2,32,11,25,31,15,43,45,22,14
16,20,24,22,12,4,3,30,33,8,30,31,4,13,25,0,43,40,30,5,44,43,47,17,26,41,44,25,38,21,27,39,11,3,41,20,39,21,5,29,41,29,43,43,3,27,0,35,25,27,0,33,8,7,27,25,20,22,3,23,42,22,29,34,44,27,45,11,32,44,26,10,41,22,5,3,18,45,30,30,35,28,11,29,31,19,47,27,4,26,7,24,10,12,30,6,33,26,34,10
5,19,10,35,17,17,41,1,6,49,9,33,21,31,34,39,22,43,41,46,22,31,16,13,4,21,49,12,16,12,19,7,10,45,16,43,8,9,31,21,37,49,0,12,31,22,37,18,1,6,22,6,36,45,48,31,27,10,29,1,31,0,45,33,9,29,18,48,24,4,16,2,46,7,17,33,4,25,11,38,17,48,5,0,44,23,4,49,2,13,0,45,33,19,16,45,26,18,26,4
8,8,12,45,30,8,33,45,47,41,35,12,16,36,0,7,35,20,35,15,46,37,18,5,29,24,0,38,17,44,36,30,47,25,0,37,9,1,34,32,10,12,39,1,6,28,4,7,47,30,9,48,38,4,2,22,11,16,8,7,7,36,20,48,7,28,32,37,29,32,37,34,21,23,35,32,45,22,9,47,3,18,19,26,18,26,36,24,12,37,18,25,36,45,44,16,2,35,30,34
17,48,34,25,26,49,35,47,13,37,47,3,33,35,42,28,15,8,2,3,14,33,9,2,33,25,4,32,29,11,15,13,39,17,44,46,48,13,19,46,11,28,49,20,32,3,9,40,27,15,40,43,10,14,12,20,43,34,28,49,8,28,8,3,16,42,25,6,49,23,8,14,29,36,2,27,23,9,23,49,15,29,48,20,41,48,35,23,1,27,39,41,44,37,39,19,12,34,6,9
