run_id,AnnLassoRegressorl0,AnnLassoRegressorl1
0,"([16, 30], 0.026012110081697463)","([16, 30], 6.410036337755227)"
1,"([18, 39], 0.03771374404418999)","([18, 39], 6.013284607681645)"
2,"([20, 43], 0.03530804423137616)","([20, 43], 8.564589621986299)"
3,"([12, 36], 0.04510016713433981)","([12, 36], 3.9445146815418175)"
4,"([11, 21], 0.027076245530868077)","([11, 21], 7.870099163339927)"
5,"([0, 46], 0.03404032231425096)","([0, 46], 17.70852115405464)"
6,"([35, 49], 0.031955964431716895)","([35, 49], 4.832514499328523)"
7,"([42, 48], 0.07028625470670741)","([42, 48], 7.804863489180227)"
8,"([16, 32], 0.00832649018621277)","([16, 32], 12.989190967702879)"
9,"([12, 29], 0.019059149477169305)","([12, 29], 23.773899004185857)"
10,"([6, 10], 0.006796518646657425)","([6, 10], 60.393904343365996)"
11,"([37, 44], 0.09233861003469482)","([37, 44], 2.877300483398627)"
12,"([12, 33], 0.17001940059244336)","([12, 33], 20.33677674866706)"
13,"([7, 27], 0.010905477849706932)","([7, 27], 9.173976947434676)"
14,"([26, 41], 0.037419481982490364)","([26, 41], 5.956912683940869)"
15,"([46, 47], 0.015775746825225236)","([46, 47], 26.887511970356805)"
16,"([20, 26], 0.0666071363893161)","([20, 26], 59.30475026539047)"
17,"([42, 43], 0.047500498576480164)","([42, 43], 63.55456887461756)"
18,"([32, 36], 0.03162831461424677)","([32, 36], 4.593199635536425)"
19,"([11, 41], 0.1142044335363378)","([11, 41], 22.210650344556804)"
20,"([9, 34], 0.041370539764452714)","([9, 34], 4.500821471011642)"
21,"([4, 48], 0.031066166470422468)","([4, 48], 7.695971540280225)"
22,"([14, 49], 0.08048916200345577)","([14, 49], 3.1692855672296063)"
23,"([20, 24], 0.17943207330090558)","([20, 24], 14.419423436781718)"
24,"([16, 34], 0.0642070282918411)","([16, 34], 7.181739814387059)"
25,"([17, 21], 0.01507558189571241)","([17, 21], 15.560420924676464)"
26,"([3, 38], 0.09365972616394341)","([3, 38], 22.887828902358788)"
27,"([0, 12], 0.01725573935902825)","([0, 12], 8.306652269642425)"
28,"([7, 13], 0.013271933243847457)","([7, 13], 8.158444260808446)"
29,"([11, 34], 0.07567859359547997)","([11, 34], 6.207453628129309)"
30,"([14, 49], 0.07914795695106186)","([14, 49], 3.8636524535801966)"
31,"([26, 28], 0.027537938846734347)","([26, 28], 13.515919659057607)"
32,"([9, 45], 0.09921809802138774)","([9, 45], 9.528416121259616)"
33,"([11, 22], 0.021171144190954814)","([11, 22], 8.4134031140642)"
34,"([18, 26], 0.037406983127543925)","([18, 26], 9.326150510125485)"
35,"([4, 29], 0.08671257190727863)","([4, 29], 7.320143488018715)"
36,"([15, 40], 0.04408970574310966)","([15, 40], 8.873872506258644)"
37,"([9, 43], 0.016707405431830247)","([9, 43], 5.022674103369456)"
38,"([42, 49], 0.07502679832639476)","([42, 49], 9.60679098925427)"
39,"([12, 37], 0.061156995132366374)","([12, 37], 5.012988976285191)"
40,"([6, 9], 0.10577775832348335)","([6, 9], 6.025440271420463)"
41,"([5, 40], 0.01150229981909259)","([5, 40], 7.486284971215456)"
42,"([7, 38], 0.034931729384207)","([7, 38], 9.445733694548863)"
43,"([5, 26], 0.0955154745099426)","([5, 26], 25.45665432093367)"
44,"([0, 26], 0.08934833177575421)","([0, 26], 11.035489723892024)"
45,"([2, 26], 0.07193284568552866)","([2, 26], 33.55217175676831)"
46,"([11, 29], 0.05305261088378141)","([11, 29], 28.44080948947629)"
47,"([16, 38], 0.06168708590085619)","([16, 38], 4.906885350438432)"
48,"([1, 40], 0.04179761604839937)","([1, 40], 20.348765988537984)"
49,"([0, 9], 0.01593006620691526)","([0, 9], 10.81340454619594)"
50,"([22, 36], 0.15307680868284837)","([22, 36], 10.801906022772897)"
51,"([18, 43], 0.0274606360439422)","([18, 43], 16.003702047080335)"
52,"([12, 19], 0.0843603335565559)","([12, 19], 9.162977267655133)"
53,"([11, 38], 0.03287890599560994)","([11, 38], 5.6340661859639525)"
54,"([33, 49], 0.05336445291222802)","([33, 49], 6.731504674221746)"
55,"([4, 8], 0.0490160599053452)","([4, 8], 6.563845264261156)"
56,"([18, 25], 0.023112884288981568)","([18, 25], 4.552614910798071)"
57,"([13, 28], 0.07541527626447268)","([13, 28], 7.216751559064264)"
58,"([3, 23], 0.07665688028640014)","([3, 23], 10.317616272326312)"
59,"([28, 47], 0.07232544533236537)","([28, 47], 18.985752382672423)"
60,"([14, 23], 0.013266491494421757)","([14, 23], 6.752436163000523)"
61,"([1, 4], 0.13756808596876202)","([1, 4], 5.535717605202868)"
62,"([1, 25], 0.013117688798706607)","([1, 25], 9.59351767196599)"
63,"([29, 48], 0.026643779899990436)","([29, 48], 10.40425697322085)"
64,"([13, 48], 0.11853488331084187)","([13, 48], 13.282489468393614)"
65,"([4, 19], 0.02862035522513605)","([4, 19], 41.77649124025124)"
66,"([33, 47], 0.013239372899728792)","([33, 47], 4.907602430253674)"
67,"([18, 27], 0.021776413803785772)","([18, 27], 2.5147468710810217)"
68,"([35, 36], 0.043529744802826446)","([35, 36], 8.214413662167182)"
69,"([8, 13], 0.04344095045938286)","([8, 13], 56.38106437649714)"
70,"([15, 28], 0.026822515261597183)","([15, 28], 15.434998242115297)"
71,"([17, 31], 0.0314933217199232)","([17, 31], 19.249884528380722)"
72,"([15, 27], 0.10233199070537603)","([15, 27], 5.083684453014785)"
73,"([24, 43], 0.02587819308581835)","([24, 43], 13.211275507198602)"
74,"([21, 24], 0.04528069251003186)","([21, 24], 13.004555819100938)"
75,"([6, 30], 0.06701454840982304)","([6, 30], 7.889025796439915)"
76,"([9, 19], 0.0539198708697064)","([9, 19], 14.657712101762936)"
77,"([34, 38], 0.008383610068158343)","([34, 38], 18.298584362908432)"
78,"([20, 28], 0.029146810305925596)","([20, 28], 5.563455176706709)"
79,"([10, 18], 0.017353689174796152)","([10, 18], 24.098884952161555)"
80,"([0, 15], 0.10377986367919959)","([0, 15], 4.842241635754962)"
81,"([33, 35], 0.03294651974397624)","([33, 35], 5.655619676972398)"
82,"([25, 32], 0.13555218780281195)","([25, 32], 6.7541432789818305)"
83,"([35, 41], 0.01131877890155022)","([35, 41], 8.516424953180296)"
84,"([25, 33], 0.019546313042129216)","([25, 33], 7.158804092856026)"
85,"([3, 12], 0.058930266148713585)","([3, 12], 6.798756595745446)"
86,"([29, 36], 0.02003005695128624)","([29, 36], 6.225853436338787)"
87,"([29, 44], 0.020618555049342457)","([29, 44], 5.188264136487913)"
88,"([1, 31], 0.031362429346337296)","([1, 31], 8.886934848411588)"
89,"([3, 23], 0.07889990156237556)","([3, 23], 9.877095451298517)"
90,"([3, 46], 0.06771970138229222)","([3, 46], 60.78450841315402)"
91,"([5, 8], 0.012939953043666788)","([5, 8], 7.776114393470603)"
92,"([7, 29], 0.014469448521671702)","([7, 29], 5.1790656334488885)"
93,"([28, 49], 0.03585339498380435)","([28, 49], 7.4541418456561646)"
94,"([0, 31], 0.04688059735484477)","([0, 31], 9.419354957767373)"
95,"([19, 23], 0.0696221382727153)","([19, 23], 10.484647160932075)"
96,"([18, 28], 0.1016672330963799)","([18, 28], 9.42247428798976)"
97,"([15, 16], 0.024319909212817997)","([15, 16], 7.07321333705358)"
98,"([1, 37], 0.026180625561699186)","([1, 37], 17.174900580459994)"
99,"([2, 3], 0.06464970601137729)","([2, 3], 33.642605223735984)"
