run_id,LNRegressor,LinearModell0,LinearModell1,RandomForestRegressor,XGBoostRegressor
0,"([np.int64(3), np.int64(4), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(21), np.int64(25), np.int64(27), np.int64(29), np.int64(30), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(39), np.int64(41), np.int64(42), np.int64(44), np.int64(47), np.int64(48), np.int64(49)], np.float64(663.931592736642))","([np.int64(15), np.int64(16), np.int64(21), np.int64(37), np.int64(38)], np.float64(13841.742930962142))","([np.int64(15)], np.float64(13780.290796162873))","([np.int64(2), np.int64(3), np.int64(4), np.int64(6), np.int64(8), np.int64(9), np.int64(15), np.int64(23), np.int64(26), np.int64(32), np.int64(35), np.int64(37), np.int64(38), np.int64(42), np.int64(44), np.int64(45), np.int64(49)], np.float64(589.4662707606626))","([np.int64(44)], np.float64(954.9567426118243))"
1,"([np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(9), np.int64(11), np.int64(12), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(37), np.int64(38), np.int64(40), np.int64(41), np.int64(43), np.int64(44), np.int64(45), np.int64(46)], np.float64(564.0486503105557))","([np.int64(3), np.int64(18), np.int64(30)], np.float64(13481.747063032217))","([], np.float64(13420.743818719713))","([np.int64(4), np.int64(5), np.int64(7), np.int64(8), np.int64(12), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(40), np.int64(41), np.int64(48)], np.float64(595.3806774496329))","([np.int64(24)], np.float64(1055.3368508757483))"
2,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7), np.int64(8), np.int64(9), np.int64(10), np.int64(12), np.int64(13), np.int64(14), np.int64(17), np.int64(19), np.int64(24), np.int64(25), np.int64(26), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(41), np.int64(42), np.int64(43), np.int64(45), np.int64(46), np.int64(47), np.int64(49)], np.float64(617.185859934306))","([], np.float64(13337.40797963988))","([], np.float64(13337.40797963988))","([np.int64(1), np.int64(5), np.int64(7), np.int64(9), np.int64(10), np.int64(13), np.int64(14), np.int64(28), np.int64(29), np.int64(38), np.int64(41), np.int64(49)], np.float64(579.9635258617727))","([np.int64(28)], np.float64(1000.2018404304647))"
3,"([np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(15), np.int64(16), np.int64(18), np.int64(20), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(29), np.int64(30), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(37), np.int64(42), np.int64(43), np.int64(44), np.int64(47), np.int64(48), np.int64(49)], np.float64(737.1518809794575))","([np.int64(3), np.int64(16), np.int64(18), np.int64(26)], np.float64(13727.432652770221))","([], np.float64(13608.056230148357))","([np.int64(3), np.int64(9), np.int64(12), np.int64(13), np.int64(15), np.int64(16), np.int64(18), np.int64(24), np.int64(27), np.int64(28), np.int64(30), np.int64(33), np.int64(36), np.int64(39), np.int64(41), np.int64(42)], np.float64(614.9642243913461))","([np.int64(18), np.int64(30), np.int64(42)], np.float64(990.0957088935143))"
4,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(8), np.int64(10), np.int64(12), np.int64(14), np.int64(16), np.int64(18), np.int64(19), np.int64(20), np.int64(23), np.int64(24), np.int64(27), np.int64(28), np.int64(30), np.int64(31), np.int64(33), np.int64(35), np.int64(38), np.int64(39), np.int64(42), np.int64(43), np.int64(45), np.int64(46), np.int64(47), np.int64(48)], np.float64(670.4086594396424))","([np.int64(45)], np.float64(13463.249928712525))","([], np.float64(13406.490720831203))","([np.int64(1), np.int64(5), np.int64(8), np.int64(11), np.int64(17), np.int64(18), np.int64(24), np.int64(37), np.int64(38), np.int64(46)], np.float64(632.8132726441391))","([], np.float64(709.9075626532228))"
5,"([np.int64(1), np.int64(3), np.int64(6), np.int64(7), np.int64(8), np.int64(13), np.int64(14), np.int64(16), np.int64(18), np.int64(21), np.int64(23), np.int64(25), np.int64(26), np.int64(28), np.int64(31), np.int64(38), np.int64(42), np.int64(44), np.int64(46), np.int64(47), np.int64(48)], np.float64(674.3849811457079))","([], np.float64(13037.722887178372))","([], np.float64(13037.722887178372))","([np.int64(3), np.int64(6), np.int64(8), np.int64(16), np.int64(24), np.int64(25), np.int64(26), np.int64(33), np.int64(38), np.int64(41), np.int64(43)], np.float64(599.4354662312915))","([np.int64(38), np.int64(43)], np.float64(1101.489514728154))"
6,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(34), np.int64(35), np.int64(36), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(48), np.int64(49)], np.float64(667.3243502973166))","([np.int64(15), np.int64(21), np.int64(30), np.int64(31), np.int64(46), np.int64(49)], np.float64(13550.136192277963))","([], np.float64(13494.09801515934))","([np.int64(2), np.int64(6), np.int64(8), np.int64(10), np.int64(18), np.int64(26), np.int64(27), np.int64(30), np.int64(31), np.int64(33), np.int64(34), np.int64(36), np.int64(41), np.int64(44), np.int64(48), np.int64(49)], np.float64(622.3022513844173))","([np.int64(27), np.int64(31), np.int64(36), np.int64(41)], np.float64(816.0241243750597))"
7,"([np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(7), np.int64(10), np.int64(11), np.int64(13), np.int64(15), np.int64(18), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(31), np.int64(32), np.int64(34), np.int64(35), np.int64(39), np.int64(40), np.int64(41), np.int64(42), np.int64(45), np.int64(48), np.int64(49)], np.float64(687.7111796066482))","([np.int64(20), np.int64(27), np.int64(34), np.int64(45)], np.float64(13406.463243959475))","([], np.float64(13322.060976434392))","([np.int64(0), np.int64(5), np.int64(7), np.int64(10), np.int64(12), np.int64(19), np.int64(21), np.int64(24), np.int64(39), np.int64(41), np.int64(42), np.int64(45), np.int64(48)], np.float64(589.3492297548911))","([np.int64(41), np.int64(45)], np.float64(1006.6011817859737))"
8,"([np.int64(3), np.int64(9), np.int64(14), np.int64(16), np.int64(18), np.int64(22), np.int64(23), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(33), np.int64(36), np.int64(43), np.int64(45), np.int64(49)], np.float64(647.4499579272639))","([np.int64(22), np.int64(23), np.int64(27)], np.float64(13083.067366738274))","([], np.float64(13114.994380394077))","([np.int64(3), np.int64(6), np.int64(7), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(17), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(38), np.int64(41), np.int64(45), np.int64(47), np.int64(49)], np.float64(531.9253628459463))","([np.int64(29), np.int64(38), np.int64(41), np.int64(49)], np.float64(805.2354332791189))"
9,"([np.int64(0), np.int64(3), np.int64(4), np.int64(8), np.int64(10), np.int64(14), np.int64(15), np.int64(18), np.int64(19), np.int64(20), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(32), np.int64(34), np.int64(35), np.int64(36), np.int64(38), np.int64(39), np.int64(42), np.int64(43), np.int64(44), np.int64(45), np.int64(46), np.int64(48)], np.float64(723.3106046439249))","([np.int64(3), np.int64(19), np.int64(27), np.int64(28), np.int64(36)], np.float64(13398.84474098537))","([], np.float64(13446.327538801637))","([np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(19), np.int64(21), np.int64(28), np.int64(31), np.int64(34), np.int64(41), np.int64(43), np.int64(44), np.int64(45)], np.float64(650.3157580837636))","([np.int64(34), np.int64(41), np.int64(43), np.int64(45)], np.float64(890.7159630077172))"
